FEDERAL-AID URBANIZED AREA (3),STATE,"UN-
        REPORTED (4)",INTERNATIONAL ROUGHNESS INDEX (IRI) (1),,,,,,,,,,,,,,,,,,INTERNATIONAL ROUGHNESS INDEX (1) / PRESENT SERVICEABILITY    RATING (PSR) (2),,,,,
Sebastian--Vero    Beach South--Florida Ridge,FL,1,0,0,0,0,0,0,0,0,0,0,0,0,13,3,3,0,0,19,96,16,54,5,4,175
Sebring--Avon    Park,FL,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,0,0,12,22,0,37,0,0,60
Sheboygan,WI,0,6,0,0,0,0,6,1,0,0,0,0,1,1,1,1,1,1,5,0,2,2,4,30,38
Sherman,TX,13,0,0,0,0,0,0,7,2,4,2,1,16,3,2,5,2,0,12,10,27,48,10,4,99
Shreveport,LA,14,16,8,17,9,3,53,1,1,3,4,2,10,20,13,26,18,13,90,31,31,47,38,45,193
Sierra    Vista,AZ,6,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2,0,0,10,6,5,2,0,0,14
Simi Valley,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,10,29,0,14,0,53
Sioux City,IA,6,9,2,1,1,0,12,0,0,0,0,0,0,11,10,9,3,4,37,0,0,1,9,0,10
Sioux City,NE,4,2,0,0,0,0,3,0,1,2,1,1,4,0,0,2,2,1,5,11,5,5,1,0,22
Sioux City,SD,0,4,1,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,1,7
Sioux Falls,SD,0,20,6,6,1,0,33,2,1,0,0,0,3,4,7,7,7,14,38,13,26,40,42,40,162
Slidell,LA,2,23,3,2,1,0,29,0,0,0,0,0,0,7,6,4,1,2,20,14,6,8,5,4,38
South Bend,IN,79,0,0,0,0,0,0,15,9,5,1,0,30,9,9,12,5,3,39,8,1,3,1,0,13
South Bend,MI,0,0,0,0,0,0,0,1,0,0,1,0,2,2,1,5,5,1,13,14,2,39,4,20,79
South    Lyon--Howell,MI,0,14,1,1,2,1,18,12,0,1,0,0,13,6,6,5,3,1,20,43,6,95,2,48,194
Spartanburg,SC,0,9,3,6,0,0,18,8,0,0,0,0,8,6,3,3,1,0,13,23,16,57,10,4,109
Spokane,WA,2,21,3,1,0,0,26,13,3,1,0,0,17,25,7,8,8,8,55,33,36,63,29,52,213
Springfield,IL,0,36,0,0,0,0,36,0,0,0,0,0,0,32,17,10,7,2,68,10,14,59,14,21,118
Springfield,CT,0,7,0,0,0,0,7,3,1,1,0,0,4,1,3,6,2,2,13,6,9,20,13,14,62
Springfield,MA,0,66,3,2,1,2,75,5,1,1,1,0,8,8,5,5,3,3,24,94,17,384,17,156,668
Springfield,MO,0,11,1,0,0,0,12,38,4,3,1,0,46,13,4,6,2,1,26,16,22,36,22,19,115
Springfield,OH,0,5,0,0,0,0,6,7,0,1,0,0,7,3,1,3,1,1,9,22,17,12,13,11,75
Spring Hill,FL,2,0,0,0,0,0,0,11,0,0,0,0,11,18,3,1,0,0,23,55,5,18,28,4,110
State    College,PA,0,6,1,1,0,0,8,1,0,0,0,0,2,4,2,4,2,0,12,6,9,9,1,0,24
Staunton--Waynesboro,VA,0,15,0,0,0,0,16,6,1,0,0,0,7,6,4,4,1,0,16,23,20,14,7,3,67
Stockton,CA,0,4,0,0,0,0,5,3,1,1,1,1,6,4,3,2,1,3,13,13,4,20,11,21,70
Sumter,SC,0,0,0,0,0,0,0,3,0,0,0,0,3,4,1,6,2,1,14,3,19,9,18,7,56
Syracuse,NY,0,27,3,2,0,0,32,21,2,2,1,0,26,5,3,4,3,3,18,77,36,49,28,40,230
Tallahassee,FL,1,12,0,0,0,0,12,0,0,0,0,0,0,14,3,1,0,0,18,103,13,30,6,2,154
Tampa--St.    Petersburg,FL,15,37,1,1,0,0,39,10,2,1,0,0,13,33,6,3,1,0,44,458,79,323,245,114,"1,219"
Temple,TX,12,9,2,2,1,0,14,3,0,1,0,0,4,9,4,3,1,1,19,54,9,31,16,19,129
Terre Haute,IN,33,8,0,1,0,0,9,0,0,0,0,0,0,30,5,6,3,2,46,12,5,0,0,1,18
Texarkana--Texarkana,AR,1,6,2,1,0,0,9,0,1,0,0,0,1,3,1,1,1,2,7,1,7,22,30,3,62
Texarkana--Texarkana,TX,5,6,0,0,0,0,7,0,1,0,0,0,2,6,1,1,1,0,9,56,7,24,19,0,106
Texas City,TX,16,7,2,1,1,0,12,1,0,2,1,0,5,10,3,2,2,1,18,61,9,29,34,21,153
Thousand    Oaks,CA,0,0,0,0,0,0,0,2,1,4,1,0,7,1,1,3,4,2,11,47,5,6,3,20,81
Titusville,FL,4,7,0,0,0,0,7,2,0,0,0,0,2,9,3,1,0,0,14,9,3,1,2,8,23
Toledo,MI,0,1,0,0,0,0,1,0,1,0,0,0,2,2,2,1,0,0,6,8,2,21,0,31,62
Toledo,OH,0,19,3,2,0,0,24,5,0,0,0,0,5,4,5,6,2,2,19,85,57,69,42,76,328
Topeka,KS,3,11,5,5,1,0,21,11,2,2,1,0,15,3,1,2,1,1,9,7,16,45,27,68,163
Tracy,CA,0,1,0,0,0,0,1,0,0,0,0,0,0,2,1,2,2,2,7,1,1,0,6,16,25
Trenton,NJ,0,12,1,1,0,0,14,5,2,1,0,0,9,3,2,3,4,5,17,32,30,82,33,46,224
Tucson,AZ,19,35,5,2,0,0,42,1,0,2,0,0,4,38,27,45,29,29,168,42,36,81,72,104,336
Tulsa,OK,1,15,5,4,1,0,25,31,7,10,4,1,53,4,2,8,5,6,26,14,60,274,164,134,645
Turlock,CA,0,0,0,0,0,0,0,2,2,1,0,0,5,0,0,0,1,1,3,0,2,4,5,7,18
Tuscaloosa,AL,10,10,2,1,0,1,14,0,0,0,0,0,0,9,3,2,0,0,15,7,0,3,3,1,14
Twin    Rivers--Hightstown,NJ,0,1,0,0,0,0,2,0,1,0,0,0,2,3,2,1,1,0,7,19,3,20,22,15,79
Tyler,TX,5,0,0,0,0,0,0,8,2,1,0,0,10,12,4,3,2,1,21,44,52,59,47,8,211
Uniontown--Connellsville,PA,0,0,0,0,0,0,0,9,4,0,0,0,13,4,2,1,0,0,8,6,7,15,2,3,33
Urban    Honolulu,HI,0,9,5,11,7,3,35,3,4,10,5,5,27,4,9,20,20,23,77,2,7,30,16,24,80
Utica,NY,0,21,2,1,0,0,25,18,5,5,2,0,29,8,4,6,2,1,21,37,27,37,9,7,116
Vacaville,CA,0,4,0,0,0,0,5,0,0,0,0,0,0,0,1,1,1,1,5,0,0,0,0,17,17
Valdosta,GA,0,20,1,0,0,0,20,0,0,0,0,0,0,29,5,6,2,2,43,6,3,2,0,0,11
Vallejo,CA,0,4,3,2,0,0,9,1,1,1,0,0,3,1,2,6,3,2,14,0,0,3,5,49,56
Victoria,TX,1,0,0,0,0,0,0,9,2,1,0,0,12,6,3,2,1,1,12,39,7,13,9,7,74
Victorville--Hesperia,CA,0,10,2,1,0,0,14,0,0,0,0,0,0,8,4,2,3,0,17,24,20,131,88,67,329
Villas,NJ,0,0,0,0,0,0,0,3,1,0,0,0,5,1,1,2,1,2,6,7,11,34,13,1,66
Vineland,NJ,0,0,0,0,0,0,0,4,1,1,0,1,8,1,1,2,1,1,5,4,17,52,31,15,119
Virginia    Beach,VA,16,52,22,14,4,1,94,19,11,6,2,1,40,120,73,108,63,35,399,48,59,133,108,66,414
Visalia,CA,0,0,0,0,0,0,0,6,3,4,1,0,14,5,4,5,1,2,17,28,18,41,16,22,125
Waco,TX,1,10,2,1,1,0,14,8,1,1,1,1,11,8,3,2,0,1,14,30,61,62,47,82,282
Waldorf,MD,1,0,0,0,0,0,0,4,0,0,0,0,5,21,3,2,1,0,26,16,9,11,3,2,41
Walla Walla,OR,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,7,13,2,1,0,0,17
Walla Walla,WA,4,0,0,0,0,0,0,7,0,0,0,0,8,3,0,1,1,4,10,2,4,6,9,8,28
Warner    Robins,GA,0,10,3,4,1,0,18,0,0,0,0,0,0,28,8,5,1,1,43,26,1,2,2,1,33
Washington,DC,0,0,0,6,1,1,8,0,0,6,2,2,10,0,0,2,1,33,36,2,0,0,2,159,164
Washington,MD,0,24,2,1,1,1,29,10,3,2,0,1,16,22,9,9,4,4,47,39,96,134,74,45,387
Washington,VA,7,68,17,10,2,0,98,73,15,13,3,1,104,74,51,67,44,38,274,66,109,195,85,80,535
Waterbury,CT,0,3,1,1,0,1,6,3,1,1,0,0,5,0,1,2,2,3,7,2,9,20,21,41,94
Waterloo,IA,19,6,0,0,0,0,6,0,0,0,0,0,0,15,12,19,5,6,57,0,0,0,0,8,8
Watertown,NY,0,7,0,0,0,0,8,0,0,0,0,0,0,4,2,1,1,1,9,37,10,8,2,0,56
Watsonville,CA,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,1,1,1,4,4,1,4,3,2,14
Wausau,WI,0,6,1,0,0,0,7,5,2,1,0,0,8,2,0,1,1,1,5,0,13,15,16,19,63
Weirton--Steubenville,OH,0,0,0,0,0,0,0,12,1,1,0,0,13,4,2,4,0,1,11,6,3,5,10,9,32
Weirton--Steubenville,PA,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Weirton--Steubenville,WV,6,0,0,0,0,0,0,1,1,2,1,0,5,10,4,3,1,0,20,8,1,8,8,9,34
Wenatchee,WA,0,0,0,0,0,0,0,16,1,1,0,0,18,10,3,3,1,1,18,16,8,19,8,7,59
West Bend,WI,0,0,0,0,0,0,1,1,1,1,1,0,3,0,0,1,0,1,3,1,0,0,19,14,34
Westminster--Eldersburg,MD,1,0,0,0,0,0,0,0,0,0,0,0,0,11,2,3,1,1,18,6,9,3,1,6,25
Wheeling,OH,0,10,1,0,0,0,11,4,1,1,0,0,7,2,1,1,0,0,5,4,3,3,5,6,20
Wheeling,WV,4,6,0,0,0,0,7,0,0,0,0,1,2,8,5,6,5,3,27,1,2,14,2,21,40
Wichita,KS,5,32,2,2,1,0,36,21,3,6,3,0,34,8,1,1,1,0,11,64,14,89,39,25,230
Wichita    Falls,TX,1,3,1,2,0,0,6,4,2,2,0,0,8,9,5,4,2,1,21,23,4,43,42,36,148
Williamsburg,VA,0,11,2,4,0,0,17,0,0,0,0,0,0,20,9,6,2,0,37,11,9,11,7,3,42
Williamsport,PA,0,8,0,1,0,0,10,2,0,0,0,0,3,2,0,1,1,1,5,17,8,10,4,2,41
Wilmington,NC,2,8,2,1,0,0,11,8,2,3,1,0,14,27,22,28,12,6,95,27,18,21,10,7,83
Winchester,VA,1,16,0,0,0,0,16,8,0,0,0,0,9,27,7,8,4,1,47,6,8,4,1,1,20
Winston-Salem,NC,8,32,7,4,1,0,44,37,18,15,2,1,74,18,14,10,3,2,46,65,41,45,10,11,172
Winter    Haven,FL,0,2,0,0,0,0,2,1,0,0,0,0,1,17,3,1,1,0,21,41,7,112,4,1,164
Woodland,CA,0,5,0,0,0,0,5,3,0,0,0,0,4,0,1,1,1,0,3,0,0,2,2,20,24
Worcester,CT,0,4,4,3,0,0,11,0,0,0,0,0,0,0,1,1,1,1,5,3,8,13,8,5,38
Worcester,MA,0,71,4,4,2,2,84,9,0,0,0,0,9,2,2,5,3,3,15,25,27,489,45,59,644
Yakima,WA,0,10,0,0,0,0,10,17,1,0,0,0,19,1,1,2,2,3,8,4,7,22,10,36,78
York,PA,0,16,1,1,0,0,18,4,1,1,0,0,5,4,3,3,1,2,14,12,17,40,12,13,94
Youngstown,OH,0,20,1,2,0,0,23,14,2,2,0,0,18,11,6,7,3,2,28,58,44,34,28,29,194
Youngstown,PA,0,1,0,0,0,0,1,3,0,0,0,0,4,2,0,2,1,2,7,9,10,7,3,2,30
Yuba City,CA,0,0,0,0,0,0,0,5,0,0,0,0,5,6,1,2,0,0,8,12,0,18,24,5,59
Yuma,AZ,34,14,0,0,0,0,14,3,0,0,0,0,3,3,2,0,0,0,5,0,0,0,0,0,0
Zephyrhills,FL,4,0,0,0,0,0,0,0,0,0,0,0,0,8,2,2,0,0,13,17,3,21,22,2,65
TOTAL,US,"3,012","7,370","1,159",923,262,97,"9,811","3,397",751,686,230,116,"5,180","7,289","3,289","4,078","1,998","1,901","18,555","24,943","12,653","33,867","15,748","18,837","106,047"
