"State, institutional control, and institution",All R&D expenditures,Unnamed: 2,Environmental sciences,Unnamed: 4,Life sciences,Unnamed: 6,Math and computer sciences,Unnamed: 8,Physical sciences,Unnamed: 10,Psychology,Unnamed: 12,Social sciences,Unnamed: 14,"Sciences, nec",Unnamed: 16,Engineering,Unnamed: 18,All non-S&E fields,Unnamed: 20
Brown U.,342040,,6524,i,135232,i,39373,i,25425,i,8826,i,25252,i,9188,i,36512,i,55708,i
Providence C.,1329,,0,,836,,0,,144,,317,,5,,0,,9,,18,
Rhode Island School of Design,1013,,298,,9,,16,,0,,0,,2,,0,,3,,685,
Roger Williams U.,2348,,693,,134,,14,,560,,0,,0,,49,,0,,898,
South Carolina,665319,,8399,,403714,,12864,,29187,,9389,,11158,,2195,,94841,,93572,
Public,660763,,7784,,402948,,12647,,26954,,9285,,11138,,2152,,94514,,93341,
C. Charleston,10607,,1259,,2620,,604,,1626,,648,,436,,134,,0,,3280,
Clemson U.,171215,,0,,39591,,8166,,9028,,750,,4957,,0,,58366,,50357,
Coastal Carolina U.,1862,,1603,,70,,6,,67,,0,,4,,0,,0,,112,
Medical U. South Carolina,243534,,0,,243534,,0,,0,,0,,0,,0,,0,,0,
South Carolina State U.,12607,,504,i,4754,i,66,i,589,i,115,i,385,i,0,i,2589,i,3605,i
"U. South Carolina, Aiken",1154,,28,,190,,140,,0,,137,,659,,0,,0,,0,
"U. South Carolina, Beaufort",892,,91,,688,,78,,0,,0,,35,,0,,0,,0,
"U. South Carolina, Columbia",208736,,4289,,111133,,3463,,15023,,7634,,4623,,2018,,33559,,26994,
Winthrop U.,10156,,10,,368,,124,,621,,1,,39,,0,,0,,8993,
Private,4556,,615,,766,,217,,2233,,104,,20,,43,,327,,231,
Benedict C.,1373,,498,,126,,136,,286,,0,,0,,0,,327,,0,
Claflin U.,1255,,0,,487,,39,,630,,0,,5,,43,,0,,51,
Furman U.,1928,,117,,153,,42,,1317,,104,,15,,0,,0,,180,
South Dakota,103368,,6681,,54506,,2357,,9596,,1100,,4108,,0,,18831,,6189,
Public,102586,,6681,,53906,,2357,,9440,,1100,,4108,,0,,18831,,6163,
Black Hills State U.,2430,,0,,701,,0,,496,,0,,0,,0,,0,,1233,
Dakota State U.,1152,,0,,154,,890,,108,,0,,0,,0,,0,,0,
South Dakota School of Mines and Technology,14970,,463,,0,,69,,2044,,0,,0,,0,,12394,,0,
South Dakota State U.,58373,,6130,,39926,,748,,2898,,0,,3734,,0,,3997,,940,
U. South Dakota,25661,,88,,13125,,650,,3894,,1100,,374,,0,,2440,,3990,
Private,782,,0,,600,,0,,156,,0,,0,,0,,0,,26,
"Augustana C., Sioux Falls",782,,0,,600,,0,,156,,0,,0,,0,,0,,26,
Tennessee,1075972,,15039,,670930,,30672,,68699,,22862,,23296,,34627,,155737,,54110,
Public,404285,,10535,,166333,,29325,,20306,,10411,,16337,,32047,,94997,,23994,
Austin Peay State U.,2113,,4,,748,,0,,111,,0,,0,,0,,0,,1250,
East Tennessee State U.,6930,,0,,5263,,169,,180,,446,,115,,0,,0,,757,
Middle Tennessee State U.,4350,,290,,842,,132,,312,,40,,61,,0,,288,,2385,
Tennessee State U.,19955,,0,,14963,,484,,874,,122,,96,,0,,2669,,747,
Tennessee Technological U.,11082,,1,,1894,,983,,761,,1275,,6,,1,,4883,,1278,
U. Memphis,46675,,4228,,10391,,3274,,1549,,7168,,3053,,5,,7871,,9136,
"U. Tennessee, Chattanooga",6817,,1,,882,,1103,,22,,40,,2,,737,,2531,,1499,
"U. Tennessee, Health Science Center",65771,,0,,64908,,0,,0,,0,,0,,166,,697,,0,
"U. Tennessee, Knoxville",173533,,6011,,16590,,23180,,16497,,1320,,7542,,25110,,70341,,6942,
"U. Tennessee, Knoxville, Institute of Agriculture",67059,,0,,49852,,0,,0,,0,,5462,,6028,,5717,,0,
Private,671687,,4504,,504597,,1347,,48393,,12451,,6959,,2580,,60740,,30116,
Fisk U.,8758,i,0,i,830,i,53,i,5918,i,0,i,0,i,0,i,0,i,1957,i
Meharry Medical C.,13998,,0,,13998,,0,,0,,0,,0,,0,,0,,0,
Sewanee: U. of the South,1115,,205,,238,,4,,110,,292,,57,,0,,0,,209,
Vanderbilt U.,647816,,4299,,489531,,1290,,42365,,12159,,6902,,2580,,60740,,27950,
Texas,5082598,,253408,,3048293,,192792,,343656,,64656,,90939,,29980,,816992,,241882,
Public,4340596,,237763,,2505666,,172649,,296513,,59250,,80077,,25449,,747736,,215493,
Lamar U.,2824,,15,,230,,169,,114,,0,,26,,0,,1664,,606,
Prairie View A&M U.,13123,,0,,8074,,404,,1929,,25,,3,,0,,2497,,191,
Sam Houston State U.,3086,,64,,522,,633,,426,,75,,1084,,0,,0,,282,
Stephen F. Austin State U.,5170,,302,,2381,,561,,212,,6,,449,,0,,9,,1250,
Sul Ross State U.,2204,,6,,1534,,0,,0,,0,,647,,0,,0,,17,
Tarleton State U.,9825,,2895,,6017,,0,,0,,0,,0,,0,,44,,869,
Texas A&M International U.,2917,,72,,304,,213,,80,,177,,15,,64,,0,,1992,
"Texas A&M U., College Station and Health Science Center",866678,,113175,,320555,,20523,,53824,,3666,,19796,,6173,,298538,,30428,
Texas A&M U.-Commerce,3755,,0,,451,,185,,1032,,26,,0,,278,,0,,1783,
Texas A&M U.-Corpus Christi,24507,,14531,,3600,,1612,,297,,6,,355,,462,,2122,,1522,
Texas A&M U.-Kingsville,20894,,1615,,14062,,0,,166,,173,,0,,73,,2081,,2724,
Texas Southern U.,5005,,130,,1596,,746,,512,,0,,0,,0,,105,,1916,
Texas State U.,47694,,2808,,7816,,2314,,3007,,93,,3961,,5037,,4898,,17760,
Texas Tech U.,163897,,12870,,36133,,7615,,13232,,6246,,14273,,0,,38185,,35343,
"Texas Tech U., Health Sciences Center",40438,,0,,39261,,0,,0,,0,,0,,0,,0,,1177,
"Texas Tech U., Health Sciences Center, El Paso",18889,,0,,18186,,0,,0,,0,,0,,0,,0,,703,
Texas Woman's U.,2310,,0,,1526,,13,,70,,31,,37,,135,,0,,498,
U. Houston,150628,,5656,,24341,,8026,,25141,,11221,,3951,,82,,47555,,24655,
U. Houston system administration,1027,,0,,0,,0,,0,,0,,0,,1027,,0,,0,
U. Houston-Clear Lake,1535,,367,,152,,186,,56,,46,,46,,0,,0,,682,
U. Houston-Downtown,2459,,114,,27,,486,,214,,13,,15,,0,,147,,1443,
"U. North Texas, Denton",43628,,1036,,8884,,5882,,7331,,1805,,2375,,0,,10688,,5627,
"U. North Texas, Health Science Center",46335,,0,,46335,,0,,0,,0,,0,,0,,0,,0,
"U. Texas Health Science Center, Houston",234299,,0,,234299,,0,,0,,0,,0,,0,,0,,0,
"U. Texas Health Science Center, San Antonio",170277,,0,,170277,,0,,0,,0,,0,,0,,0,,0,
"U. Texas Health Science Center, Tyler",12191,,0,,12191,,0,,0,,0,,0,,0,,0,,0,
U. Texas M. D. Anderson Cancer Center,833406,,0,,773837,,17797,,16214,,17786,,7772,,0,,0,,0,
U. Texas Medical Branch,173506,,0,,170469,,0,,0,,0,,0,,0,,3037,,0,
U. Texas Pan American,11266,,58,,2794,,583,,1231,,193,,125,,31,,4529,,1722,
U. Texas Southwestern Medical Center,438824,,0,,438824,,0,,0,,0,,0,,0,,0,,0,
"U. Texas, Arlington",77798,,1661,,16079,,6026,,11596,,1205,,734,,0,,37401,,3096,
"U. Texas, Austin",650608,,71843,,74068,,77507,,130105,,9938,,14473,,3131,,216821,,52722,
"U. Texas, Brownsville",5827,,120,,2476,,634,,2410,,0,,137,,15,,10,,25,
"U. Texas, Dallas",98551,,810,,21135,,8744,,13175,,1322,,1840,,5860,,39488,,6177,
"U. Texas, El Paso",89418,,5357,,25094,,6963,,6990,,4280,,4141,,165,,24525,,11903,
"U. Texas, Permian Basin",1725,,614,,30,,0,,20,,2,,0,,210,,256,,593,
"U. Texas, San Antonio",54949,,1519,,18852,,4648,,6646,,911,,3664,,2389,,11383,,4937,
"U. Texas, Tyler",4610,,22,,1675,,43,,26,,4,,76,,0,,503,,2261,
West Texas A&M U.,4513,,103,,1579,,136,,457,,0,,82,,317,,1250,,589,
Private,742002,,15645,,542627,,20143,,47143,,5406,,10862,,4531,,69256,,26389,
Baylor C. of Medicine,520220,,0,,520220,,0,,0,,0,,0,,0,,0,,0,
Baylor U.,24642,,1674,,4147,,1326,,6829,,898,,1270,,1861,,2716,,3921,
Rice U.,144679,,6013,,11821,,16392,,34639,,1265,,8841,,1198,,61766,,2744,
Southern Methodist U.,29282,,6915,,1716,,1983,,2640,,1020,,382,,1472,,4410,,8744,
St. Edward's U.,9515,,250,,3100,,0,,850,,0,,0,,0,,0,,5315,
Texas Christian U.,8007,,610,,968,,119,,1004,,2033,,276,,0,,85,,2912,
Trinity U.,2633,,183,,328,,249,,1146,,190,,86,,0,,43,,408,
U. of the Incarnate Word,848,,0,,305,,0,,35,,0,,0,,0,,236,,272,
Wiley C.,2176,,0,,22,,74,,0,,0,,7,,0,,0,,2073,
Utah,733407,,15136,,393661,,42077,,28596,,15119,,9442,,488,,210587,,18301,
Public,694281,,14672,,385919,,39462,,23727,,13914,,7922,,488,,197153,,11024,
U. Utah,518928,,12633,,326552,,36715,,19361,,3545,,6237,,0,,104366,,9519,
Utah State U.,175353,,2039,,59367,,2747,,4366,,10369,,1685,,488,,92787,,1505,
Private,39126,,464,,7742,,2615,,4869,,1205,,1520,,0,,13434,,7277,
"Brigham Young U., Provo",39126,,464,,7742,,2615,,4869,,1205,,1520,,0,,13434,,7277,
Vermont,119663,,1504,,96584,,1550,,1629,,2283,,649,,8004,,6754,,706,
Public,114547,,1038,,93690,,1296,,1056,,2113,,348,,8004,,6545,,457,
U. Vermont,114547,,1038,,93690,,1296,,1056,,2113,,348,,8004,,6545,,457,
Private,5116,,466,,2894,,254,,573,,170,,301,,0,,209,,249,
Middlebury C.,1599,,313,,644,,78,,313,,105,,121,,0,,0,,25,
Norwich U.,1985,,135,,991,,112,,91,,51,,172,,0,,209,,224,
Saint Michael's C.,1532,,18,,1259,,64,,169,,14,,8,,0,,0,,0,
Virginia,1411176,,64223,,684448,,58302,,67017,,28767,,53814,,8560,,337458,,108587,
Public,1348247,,59027,,637907,,57548,,61283,,28368,,51099,,8560,,336587,,107868,
C. of William and Mary and Virginia Institute of Marine Science,61554,,30659,,3257,,2172,,6770,,276,,9508,,0,,0,,8912,
Christopher Newport U.,1208,,5,,513,,0,,411,,0,,23,,0,,50,,206,
George Mason U.,106410,,9836,,18428,,14731,,3825,,7509,,25335,,0,,10181,,16565,
James Madison U.,3712,,649,,773,,202,,785,,463,,179,,55,,594,,12,
Norfolk State U.,5348,,0,,155,,836,,1000,,0,,0,,0,,3131,,226,
Old Dominion U.,65092,,4758,,8165,,2043,,6363,,1530,,274,,1298,,23987,,16674,
U. of Mary Washington,690,,65,,1,,16,,31,,0,,36,,117,,0,,424,
"U. Virginia, Charlottesville",373218,,5873,,227649,,8161,,21665,,5163,,6810,,5906,,58586,,33405,
Virginia Commonwealth U.,218925,,1027,,164136,,1807,,6350,,8799,,1909,,0,,12384,,22513,
Virginia Polytechnic Institute and State U.,504282,,6107,,209678,,27380,,14025,,4425,,7001,,1184,,225702,,8780,
Virginia State U.,7808,,48,,5152,,200,,58,,203,,24,,0,,1972,,151,
Private,62929,,5196,,46541,,754,,5734,,399,,2715,,0,,871,,719,
Eastern Virginia Medical School,42296,,0,,42296,,0,,0,,0,,0,,0,,0,,0,
Edward Via C. of Osteopathic Medicine,2237,,0,,2237,,0,,0,,0,,0,,0,,0,,0,
Hampton U.,14895,,4977,,1323,,720,,4769,,0,,2108,,0,,870,,128,
U. Richmond,3069,,136,,458,,25,,898,,395,,572,,0,,0,,585,
Washington and Lee U.,432,,83,,227,,9,,67,,4,,35,,0,,1,,6,
Washington,1549479,,128317,,936333,,32245,,92713,,11921,,38385,,3687,,186645,,119233,
Public,1542977,,128313,,933643,,32051,,92035,,11788,,38360,,3687,,185607,,117493,
Central Washington U.,2581,,1452,,308,,0,,272,,14,,135,,0,,1,,399,
Eastern Washington U.,2973,,36,,703,,0,,113,,0,,2121,,0,,0,,0,
Northwest Indian C.,2530,i,0,i,0,i,0,i,0,i,0,i,663,i,0,i,0,i,1867,i
"U. Washington, Bothell",7657,,737,,606,,242,,0,,0,,0,,21,,562,,5489,
"U. Washington, Seattle",1180563,,111208,,764570,,24756,,46940,,9314,,14591,,29,,129670,,79485,
"U. Washington, Tacoma",3618,,1557,,82,,173,,0,,0,,0,,0,,0,,1806,
Washington State U.,333134,,10614,,166580,,6110,,43737,,2004,,20322,,3107,,54515,,26145,
Western Washington U.,9921,,2709,,794,,770,,973,,456,,528,,530,,859,,2302,
Private,6502,,4,,2690,,194,,678,,133,,25,,0,,1038,,1740,
Bastyr U.,1409,,0,,1405,,0,,0,,0,,4,,0,,0,,0,
Gonzaga U.,1145,,0,,423,,41,,407,,0,,0,,0,,263,,11,
Seattle Pacific U.,1101,,0,,71,,0,,27,,133,,0,,0,,13,,857,
Seattle U.,2847,,4,,791,,153,,244,,0,,21,,0,,762,,872,
West Virginia,199167,,11116,,114823,,1714,,12829,,922,,7823,,1744,,36896,,11300,
Public,197446,,11116,,114715,,1714,,12829,,922,,7823,,1744,,36896,,9687,
Marshall U.,19936,,126,,13059,,20,,2168,,41,,195,,1462,,2764,,101,
West Virginia State U.,7365,,830,,5552,,145,,745,,0,,0,,0,,92,,1,
West Virginia U.,170145,,10160,,96104,,1549,,9916,,881,,7628,,282,,34040,,9585,
Private,1721,,0,,108,,0,,0,,0,,0,,0,,0,,1613,
Wheeling Jesuit U.,1721,,0,,108,,0,,0,,0,,0,,0,,0,,1613,
Wisconsin,1373787,,63311,,813916,,31985,,87576,,10184,,51445,,11908,,158761,,144701,
Public,1145164,,63311,,606298,,30862,,85615,,9418,,51118,,11908,,146764,,139870,
U. Wisconsin-Green Bay,1320,,149,i,377,i,55,i,98,i,34,i,96,i,0,i,201,i,310,i
U. Wisconsin-La Crosse,3615,,36,,1171,,85,,476,,36,,976,,168,,0,,667,
U. Wisconsin-Madison,1069077,,50144,,589652,,28586,,73139,,6352,,45158,,9778,,135557,,130711,
U. Wisconsin-Milwaukee,63414,,12504,,11077,,1851,,11375,,2845,,4554,,1962,,9715,,7531,
U. Wisconsin-Oshkosh,2236,i,120,i,1238,i,81,i,151,i,42,i,87,i,0,i,381,i,136,i
U. Wisconsin-Platteville,970,i,111,i,274,i,40,i,67,i,25,i,69,i,0,i,140,i,244,i
U. Wisconsin-Stevens Point,4532,i,247,i,2509,i,164,i,309,i,84,i,178,i,0,i,770,i,271,i
Private,228623,,0,,207618,,1123,,1961,,766,,327,,0,,11997,,4831,
Marquette U.,24816,,0,,7199,,1123,,1907,,766,,327,,0,,8663,,4831,
Medical C. Wisconsin,199283,,0,,199283,,0,,0,,0,,0,,0,,0,,0,
Milwaukee School of Engineering,4524,,0,,1136,,0,,54,,0,,0,,0,,3334,,0,
Wyoming,56996,,21371,,19576,,1648,,4068,,68,,2582,,47,,5568,,2068,
Public,56996,,21371,,19576,,1648,,4068,,68,,2582,,47,,5568,,2068,
U. Wyoming,56996,,21371,,19576,,1648,,4068,,68,,2582,,47,,5568,,2068,
American Samoa,1337,,0,,1337,,0,,0,,0,,0,,0,,0,,0,
Public,1337,,0,,1337,,0,,0,,0,,0,,0,,0,,0,
American Samoa Community C.,1337,,0,,1337,,0,,0,,0,,0,,0,,0,,0,
Guam,6062,,1479,,4426,,0,,0,,0,,14,,0,,0,,143,
Public,6062,,1479,,4426,,0,,0,,0,,14,,0,,0,,143,
U. Guam,6062,,1479,,4426,,0,,0,,0,,14,,0,,0,,143,
Puerto Rico,126792,,12403,,66871,,2178,,17261,,1666,,2396,,2692,,15832,,5493,
Public,102300,,12174,,50693,,1658,,13461,,1600,,2134,,2692,,14703,,3185,
"U. Puerto Rico, Cayey",1521,,107,,0,,0,,99,,0,,142,,1173,,0,,0,
"U. Puerto Rico, Humacao",784,,0,,0,,0,,748,,0,,0,,0,,0,,36,
"U. Puerto Rico, Mayaguez",28100,,6988,,3207,,895,,3514,,0,,128,,139,,12115,,1114,
"U. Puerto Rico, Medical Sciences Campus",43316,,0,,43316,,0,,0,,0,,0,,0,,0,,0,
"U. Puerto Rico, Rio Piedras",28579,,5079,,4170,,763,,9100,,1600,,1864,,1380,,2588,,2035,
Private,24492,,229,,16178,,520,,3800,,66,,262,,0,,1129,,2308,
Ponce Health Sciences U.,7520,,0,,7520,,0,,0,,0,,0,,0,,0,,0,
U. Central del Caribe,6964,,0,,6964,,0,,0,,0,,0,,0,,0,,0,
U. del Este,1174,,0,,912,,0,,0,,66,,195,,0,,0,,1,
U. del Turabo,2473,,101,,388,,101,,158,,0,,67,,0,,965,,693,
U. Metropolitana,6361,,128,,394,,419,,3642,,0,,0,,0,,164,,1614,
Virgin Islands,20630,,0,,19415,,0,,41,,0,,0,,0,,0,,1174,
Public,20630,,0,,19415,,0,,41,,0,,0,,0,,0,,1174,
U. of the Virgin Islands,20630,,0,,19415,,0,,41,,0,,0,,0,,0,,1174,
