"State, institutional control, and institution",Total,Federally financed,All R&D expenditures passed through,Unnamed: 4,To educational subrecipients,Unnamed: 6,To business,Unnamed: 8,To nonprofit organizations,Unnamed: 10,To other subrecipients,Unnamed: 12,All R&D expenditures passed through.1,Unnamed: 14,To educational subrecipients.1,Unnamed: 16,To business.1,Unnamed: 18,To nonprofit organizations.1,Unnamed: 20,To other subrecipients.1,Unnamed: 22
Colgate U.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Columbia U. in the City of New York,85545.0,,41055.0,,1432.0,,38010.0,,5048.0,,73372.0,,40686.0,,0.0,,31769.0,,917.0,,,
"Columbia U., Teachers C.",4894.0,,1385.0,,0.0,,2345.0,,1164.0,,4572.0,,1181.0,,0.0,,2227.0,,1164.0,,,
Cornell U.,77015.0,,40546.0,,5216.0,,25255.0,,5998.0,,60279.0,,35950.0,,4332.0,,19427.0,,570.0,,,
Fordham U.,2067.0,,2067.0,,0.0,,0.0,,0.0,,692.0,,692.0,,0.0,,0.0,,0.0,,,
Hamilton C.,21.0,,21.0,,0.0,,0.0,,0.0,,21.0,,21.0,,0.0,,0.0,,0.0,,,
Hobart and William Smith Colleges,39.0,,0.0,,0.0,,0.0,,39.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Hofstra U.,164.0,,49.0,,0.0,,100.0,,15.0,,164.0,,49.0,,0.0,,100.0,,15.0,,,
Icahn School of Medicine at Mt. Sinai,61136.0,,41421.0,,1438.0,,15271.0,,3006.0,,58947.0,,40816.0,,1330.0,,14227.0,,2574.0,,,
Ithaca C.,19.0,,0.0,,19.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Marist C.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
"Memorial Sloan Kettering Cancer Center, Louis V. Gerstner Jr. Graduate S. of Biomedical Sciences",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
New School,1026.0,,1026.0,,0.0,,0.0,,0.0,,1026.0,,1026.0,,0.0,,0.0,,0.0,,,
New York Institute of Technology,60.0,,60.0,,0.0,,0.0,,0.0,,60.0,,60.0,,0.0,,0.0,,0.0,,,
New York Medical C.,1446.0,,746.0,,311.0,,389.0,,0.0,,786.0,,550.0,,79.0,,157.0,,0.0,,,
New York U.,44889.0,,20863.0,,7815.0,,13606.0,,2605.0,,39775.0,,17559.0,,7776.0,,12480.0,,1960.0,,,
Niagara U.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Pace U.,445.0,,296.0,,0.0,,149.0,,0.0,,445.0,,296.0,,0.0,,149.0,,0.0,,,
Rensselaer Polytechnic Institute,9918.0,,7453.0,,1234.0,,1036.0,,195.0,,8718.0,,6610.0,,877.0,,1036.0,,195.0,,,
Rochester Institute of Technology,1268.0,,880.0,,46.0,,42.0,,300.0,,1016.0,,669.0,,46.0,,1.0,,300.0,,,
Rockefeller U.,7247.0,,4903.0,,0.0,,1906.0,,438.0,,7000.0,,4749.0,,0.0,,1813.0,,438.0,,,
Siena C.,20.0,,4.0,,16.0,,0.0,,0.0,,20.0,,4.0,,16.0,,0.0,,0.0,,,
Skidmore C.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
"St. John's U., Manhattan",17.0,i,17.0,i,0.0,i,0.0,i,0.0,i,17.0,i,17.0,i,0.0,i,0.0,i,0.0,i,,
Syracuse U.,3192.0,,2042.0,,384.0,,636.0,,130.0,,1906.0,,1278.0,,130.0,,368.0,,130.0,,,
U. Rochester,24505.0,,16594.0,,2938.0,,3466.0,,1507.0,,21792.0,,14713.0,,2744.0,,2898.0,,1437.0,,,
"Union C., Schenectady",38.0,,38.0,,0.0,,0.0,,0.0,,38.0,,38.0,,0.0,,0.0,,0.0,,,
Vassar C.,106.0,,106.0,,0.0,,0.0,,0.0,,106.0,,106.0,,0.0,,0.0,,0.0,,,
Yeshiva U.,19879.0,,14686.0,,1047.0,,3592.0,,554.0,,19332.0,,14393.0,,983.0,,3402.0,,554.0,,,
North Carolina,,,,,,,,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,,,,,,,,
Appalachian State U.,152.0,,125.0,,0.0,,27.0,,0.0,,141.0,,114.0,,0.0,,27.0,,0.0,,,
East Carolina U.,773.0,,438.0,,178.0,,40.0,,117.0,,611.0,,367.0,,128.0,,37.0,,79.0,,,
Elizabeth City State U.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Fayetteville State U.,60.0,,60.0,,0.0,,0.0,,0.0,,60.0,,60.0,,0.0,,0.0,,0.0,,,
North Carolina Agricultural and Technical State U.,3250.0,,2938.0,,127.0,,166.0,,19.0,,3110.0,,2829.0,,115.0,,166.0,,0.0,,,
North Carolina Central U.,262.0,,254.0,,8.0,,0.0,,0.0,,254.0,,254.0,,0.0,,0.0,,0.0,,,
North Carolina State U.,31765.0,,70.0,i,13872.0,i,9768.0,i,8055.0,i,29048.0,,70.0,i,12746.0,i,8998.0,i,7234.0,i,,
"U. North Carolina, Asheville",386.0,,33.0,,174.0,,61.0,,118.0,,257.0,,33.0,,174.0,,50.0,,0.0,,,
"U. North Carolina, Chapel Hill",123584.0,,51324.0,,35470.0,i,22399.0,i,14391.0,i,109600.0,,48930.0,,30415.0,i,18777.0,i,11478.0,i,,
"U. North Carolina, Charlotte",2040.0,,1823.0,,93.0,,37.0,,87.0,,1965.0,,1794.0,,57.0,,27.0,,87.0,,,
"U. North Carolina, general administration",3678.0,,3678.0,,0.0,,0.0,,0.0,,169.0,,169.0,,0.0,,0.0,,0.0,,,
"U. North Carolina, Greensboro",1684.0,,972.0,,376.0,,0.0,,336.0,,1628.0,,916.0,,376.0,,0.0,,336.0,,,
"U. North Carolina, Wilmington",316.0,,117.0,,0.0,,182.0,,17.0,,305.0,,106.0,,0.0,,182.0,,17.0,,,
Western Carolina U.,6.0,,6.0,,0.0,,0.0,,0.0,,6.0,,6.0,,0.0,,0.0,,0.0,,,
Private,,,,,,,,,,,,,,,,,,,,,,
Davidson C.,268.0,,138.0,,0.0,,0.0,,130.0,,231.0,,101.0,,0.0,,0.0,,130.0,,,
Duke U.,185093.0,,35758.0,,141587.0,,1456.0,,6292.0,,98361.0,,32228.0,,59435.0,,1433.0,,5265.0,,,
Elon U.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Shaw U.,0.0,i,0.0,i,0.0,i,0.0,i,0.0,i,0.0,i,0.0,i,0.0,i,0.0,i,0.0,i,,
Wake Forest U.,42070.0,,29485.0,,2401.0,,8499.0,,1685.0,,41207.0,,28960.0,,2249.0,,8347.0,,1651.0,,,
North Dakota,,,,,,,,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,,,,,,,,
North Dakota State U.,3478.0,,2894.0,,223.0,,24.0,,337.0,,3270.0,,2835.0,,121.0,,24.0,,290.0,,,
U. North Dakota,3094.0,,1893.0,,558.0,,637.0,,6.0,,2991.0,,1893.0,,455.0,,637.0,,6.0,,,
Ohio,,,,,,,,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,,,,,,,,
Air Force Institute of Technology,373.0,,373.0,,0.0,,0.0,,0.0,,373.0,,373.0,,0.0,,0.0,,0.0,,,
Bowling Green State U.,713.0,,521.0,,105.0,,29.0,,58.0,,713.0,,521.0,,105.0,,29.0,,58.0,,,
Central State U.,62.0,,62.0,,0.0,,0.0,,0.0,,62.0,,62.0,,0.0,,0.0,,0.0,,,
Cleveland State U.,1566.0,,1129.0,,179.0,,258.0,,0.0,,1373.0,,947.0,,179.0,,247.0,,0.0,,,
Kent State U.,2313.0,,1530.0,,563.0,,183.0,,37.0,,1260.0,,817.0,,223.0,,183.0,,37.0,,,
Miami U.,1091.0,,931.0,,44.0,,116.0,,0.0,,972.0,,812.0,,44.0,,116.0,,0.0,,,
Northeast Ohio Medical U.,252.0,,142.0,,0.0,,97.0,,13.0,,155.0,,142.0,,0.0,,0.0,,13.0,,,
Ohio State U.,90651.0,,62076.0,,5286.0,,14364.0,,8925.0,,55923.0,,39323.0,,1617.0,,10290.0,,4693.0,,,
Ohio U.,2446.0,,1422.0,,907.0,,97.0,,20.0,,1914.0,,937.0,,907.0,,50.0,,20.0,,,
U. Akron,2139.0,,561.0,,666.0,,806.0,,106.0,,1617.0,,353.0,,377.0,,781.0,,106.0,,,
U. Cincinnati,18895.0,,9785.0,,313.0,,8785.0,,12.0,,14180.0,,5486.0,,276.0,,8406.0,,12.0,,,
U. Toledo,3312.0,,1940.0,,651.0,,652.0,,69.0,,1314.0,,659.0,,329.0,,320.0,,6.0,,,
Wright State U.,6423.0,,1650.0,,3544.0,,1209.0,,20.0,,4254.0,,1470.0,,2044.0,,730.0,,10.0,,,
Youngstown State U.,1325.0,,0.0,,0.0,,1325.0,,0.0,,1325.0,,0.0,,0.0,,1325.0,,0.0,,,
Private,,,,,,,,,,,,,,,,,,,,,,
C. Wooster,0.0,i,0.0,i,0.0,i,0.0,i,0.0,i,0.0,i,0.0,i,0.0,i,0.0,i,0.0,i,,
Case Western Reserve U.,24745.0,,16864.0,,1052.0,,3442.0,,3387.0,,22716.0,,15926.0,,886.0,,2994.0,,2910.0,,,
Heidelberg U.,128.0,,8.0,,1.0,,76.0,,43.0,,86.0,,8.0,,0.0,,49.0,,29.0,,,
Oberlin C.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
U. Dayton,12361.0,,3318.0,,8342.0,,515.0,,186.0,,10207.0,,2730.0,,6785.0,,515.0,,177.0,,,
Oklahoma,,,,,,,,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,,,,,,,,
East Central U.,10.0,,10.0,,0.0,,0.0,,0.0,,10.0,,10.0,,0.0,,0.0,,0.0,,,
Langston U.,144.0,,144.0,,0.0,,0.0,,0.0,,144.0,,144.0,,0.0,,0.0,,0.0,,,
"Oklahoma State U., Center for Health Sciences",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
"Oklahoma State U., Stillwater",7120.0,,4998.0,,955.0,,522.0,,645.0,,6590.0,,4605.0,,878.0,,522.0,,585.0,,,
U. Central Oklahoma,18.0,,18.0,,0.0,,0.0,,0.0,,18.0,,18.0,,0.0,,0.0,,0.0,,,
"U. Oklahoma, Norman and Health Science Center",16204.0,,10152.0,,1832.0,,3002.0,,1218.0,,13537.0,,9281.0,,593.0,,2445.0,,1218.0,,,
"U. Oklahoma, Tulsa",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Private,,,,,,,,,,,,,,,,,,,,,,
U. Tulsa,1401.0,,434.0,,369.0,,434.0,,164.0,,1380.0,,413.0,,369.0,,434.0,,164.0,,,
Oregon,,,,,,,,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,,,,,,,,
Oregon Health and Science U.,35060.0,,21865.0,,4062.0,,9107.0,,26.0,,33388.0,,20792.0,,3797.0,,8773.0,,26.0,,,
Oregon Institute of Technology,510.0,,154.0,,125.0,,0.0,,231.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Oregon State U.,19430.0,,14280.0,,3552.0,,582.0,,1016.0,,18136.0,,13806.0,,3005.0,,578.0,,747.0,,,
Portland State U.,4548.0,,2703.0,,167.0,,1441.0,,237.0,,3348.0,,2286.0,,111.0,,807.0,,144.0,,,
U. Oregon,7238.0,,5100.0,,1006.0,,853.0,,279.0,,6825.0,,4972.0,,721.0,,853.0,,279.0,,,
Private,,,,,,,,,,,,,,,,,,,,,,
Lewis and Clark C.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Pacific U.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Reed C.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
U. Western States,283.0,,283.0,,0.0,,0.0,,0.0,,283.0,,283.0,,0.0,,0.0,,0.0,,,
Willamette U.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Pennsylvania,,,,,,,,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,,,,,,,,
"Pennsylvania State U., Behrend",42.0,,25.0,i,9.0,i,6.0,i,2.0,i,27.0,,18.0,i,5.0,i,3.0,i,1.0,i,,
"Pennsylvania State U., Harrisburg",324.0,,128.0,i,64.0,i,64.0,i,68.0,i,0.0,,0.0,,0.0,,0.0,,0.0,,,
"Pennsylvania State U., University Park and Hershey Medical Center",67246.0,,38109.0,i,12801.0,i,9029.0,i,7307.0,i,66262.0,,37712.0,i,12559.0,i,8865.0,i,7126.0,i,,
Temple U.,16303.0,,11772.0,,1075.0,,3314.0,,142.0,,14352.0,,10517.0,,950.0,,2842.0,,43.0,,,
"U. Pittsburgh, Pittsburgh",77397.0,,47444.0,,7570.0,,22112.0,,271.0,,70057.0,,42945.0,,6852.0,,20015.0,,245.0,,,
West Chester U. Pennsylvania,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Private,,,,,,,,,,,,,,,,,,,,,,
Bryn Mawr C.,1624.0,,500.0,,0.0,,1124.0,,0.0,,1624.0,,500.0,,0.0,,1124.0,,0.0,,,
Bucknell U.,128.0,,0.0,,98.0,,0.0,,30.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Carnegie Mellon U.,20361.0,,16244.0,,1908.0,,966.0,,1243.0,,19465.0,,15447.0,,1908.0,,966.0,,1144.0,,,
Commonwealth Medical C.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Dickinson C.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Drexel U.,13137.0,,6682.0,,1963.0,,3978.0,,514.0,,10874.0,,5485.0,,1669.0,,3314.0,,406.0,,,
Duquesne U.,1003.0,,742.0,,0.0,,261.0,,0.0,,765.0,,715.0,,0.0,,50.0,,0.0,,,
Franklin and Marshall C.,162.0,,162.0,,0.0,,0.0,,0.0,,32.0,,32.0,,0.0,,0.0,,0.0,,,
Haverford C.,53.0,,39.0,,0.0,,0.0,,14.0,,53.0,,39.0,,0.0,,0.0,,14.0,,,
La Salle U.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Lafayette C.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Lehigh U.,3117.0,,2737.0,,299.0,,81.0,,0.0,,2102.0,,1722.0,,299.0,,81.0,,0.0,,,
Mercyhurst U.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Philadelphia C. of Osteopathic Medicine,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Saint Joseph's U.,231.0,,8.0,,223.0,,0.0,,0.0,,8.0,,8.0,,0.0,,0.0,,0.0,,,
Salus U.,107.0,,107.0,,0.0,,0.0,,0.0,,107.0,,107.0,,0.0,,0.0,,0.0,,,
Swarthmore C.,178.0,,145.0,,0.0,,33.0,,0.0,,145.0,,145.0,,0.0,,0.0,,0.0,,,
Thomas Jefferson U.,4337.0,,2341.0,,321.0,,1300.0,,375.0,,3084.0,,2016.0,,103.0,,590.0,,375.0,,,
U. of the Sciences Philadelphia,24.0,,24.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
U. Pennsylvania,89390.0,,62087.0,,6410.0,i,13080.0,i,7813.0,i,75493.0,,53736.0,,4952.0,i,10270.0,i,6535.0,i,,
Villanova U.,343.0,,343.0,,0.0,,0.0,,0.0,,343.0,,343.0,,0.0,,0.0,,0.0,,,
Rhode Island,,,,,,,,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,,,,,,,,
Naval War C.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Rhode Island C.,141.0,,60.0,,1.0,,80.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
U. Rhode Island,12833.0,,6400.0,,4885.0,,782.0,,766.0,,12210.0,,6183.0,,4554.0,,707.0,,766.0,,,
Private,,,,,,,,,,,,,,,,,,,,,,
Brown U.,15663.0,,8928.0,,351.0,,5304.0,,1080.0,,14655.0,,8450.0,,351.0,,4776.0,,1078.0,,,
Providence C.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Rhode Island School of Design,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Roger Williams U.,147.0,,43.0,,0.0,,36.0,,68.0,,147.0,,43.0,,0.0,,36.0,,68.0,,,
South Carolina,,,,,,,,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,,,,,,,,
C. Charleston,1046.0,,887.0,,0.0,,91.0,,68.0,,812.0,,757.0,,0.0,,0.0,,55.0,,,
Clemson U.,5465.0,,3119.0,i,1084.0,i,652.0,i,610.0,i,5153.0,,2966.0,i,1021.0,i,565.0,i,601.0,i,,
Coastal Carolina U.,70.0,,43.0,,23.0,,0.0,,4.0,,70.0,,43.0,,23.0,,0.0,,4.0,,,
Medical U. South Carolina,9051.0,,5328.0,,2074.0,,3.0,,1646.0,,8090.0,,4740.0,,1707.0,,3.0,,1640.0,,,
South Carolina State U.,377.0,,377.0,,0.0,,0.0,,0.0,,377.0,,377.0,,0.0,,0.0,,0.0,,,
"U. South Carolina, Aiken",430.0,,430.0,,0.0,,0.0,,0.0,,430.0,,430.0,,0.0,,0.0,,0.0,,,
"U. South Carolina, Beaufort",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
"U. South Carolina, Columbia",14748.0,,7392.0,,4140.0,,2134.0,,1082.0,,14374.0,,7173.0,,4118.0,,2016.0,,1067.0,,,
Winthrop U.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Private,,,,,,,,,,,,,,,,,,,,,,
Benedict C.,43.0,,43.0,,0.0,,0.0,,0.0,,43.0,,43.0,,0.0,,0.0,,0.0,,,
Claflin U.,1.0,,0.0,,0.0,,1.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Furman U.,79.0,,79.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
South Dakota,,,,,,,,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,,,,,,,,
Black Hills State U.,419.0,,419.0,,0.0,,0.0,,0.0,,419.0,,419.0,,0.0,,0.0,,0.0,,,
Dakota State U.,120.0,,120.0,,0.0,,0.0,,0.0,,120.0,,120.0,,0.0,,0.0,,0.0,,,
South Dakota School of Mines and Technology,1812.0,,1702.0,,19.0,,0.0,,91.0,,782.0,,682.0,,9.0,,0.0,,91.0,,,
South Dakota State U.,3501.0,,3424.0,,44.0,,0.0,,33.0,,3469.0,,3395.0,,44.0,,0.0,,30.0,,,
U. South Dakota,2962.0,,1215.0,,0.0,,1747.0,,0.0,,2857.0,,1110.0,,0.0,,1747.0,,0.0,,,
Private,,,,,,,,,,,,,,,,,,,,,,
"Augustana C., Sioux Falls",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Tennessee,,,,,,,,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,,,,,,,,
Austin Peay State U.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
East Tennessee State U.,294.0,,257.0,,37.0,,0.0,,0.0,,294.0,,257.0,,37.0,,0.0,,0.0,,,
Middle Tennessee State U.,136.0,,119.0,,16.0,,1.0,,0.0,,120.0,,119.0,,0.0,,1.0,,0.0,,,
Tennessee State U.,660.0,,477.0,,0.0,,85.0,,98.0,,596.0,,477.0,,0.0,,85.0,,34.0,,,
Tennessee Technological U.,221.0,,47.0,,23.0,,5.0,,146.0,,221.0,,47.0,,23.0,,5.0,,146.0,,,
U. Memphis,3061.0,,2264.0,,95.0,,253.0,,449.0,,2849.0,,2073.0,,74.0,,253.0,,449.0,,,
"U. Tennessee, Chattanooga",102.0,,102.0,,0.0,,0.0,,0.0,,102.0,,102.0,,0.0,,0.0,,0.0,,,
"U. Tennessee, Health Science Center",1802.0,,575.0,,508.0,i,359.0,i,360.0,i,1700.0,,544.0,,508.0,i,359.0,i,289.0,i,,
"U. Tennessee, Knoxville",14702.0,,7390.0,,3212.0,i,2278.0,i,1822.0,i,14249.0,,7032.0,,3175.0,i,2241.0,i,1801.0,i,,
"U. Tennessee, Knoxville, Institute of Agriculture",3213.0,,2827.0,,386.0,,0.0,,0.0,,3151.0,,2765.0,,386.0,,0.0,,0.0,,,
Private,,,,,,,,,,,,,,,,,,,,,,
Fisk U.,263.0,i,263.0,i,0.0,i,0.0,i,0.0,i,263.0,i,263.0,i,0.0,i,0.0,i,0.0,i,,
Meharry Medical C.,480.0,,480.0,,0.0,,0.0,,0.0,,480.0,,480.0,,0.0,,0.0,,0.0,,,
Sewanee: U. of the South,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Vanderbilt U.,48868.0,,31659.0,,10473.0,,4464.0,,2272.0,,45150.0,,29423.0,,9750.0,,3719.0,,2258.0,,,
Texas,,,,,,,,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,,,,,,,,
Lamar U.,578.0,,578.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Prairie View A&M U.,276.0,,276.0,,0.0,,0.0,,0.0,,276.0,,276.0,,0.0,,0.0,,0.0,,,
Sam Houston State U.,106.0,,106.0,,0.0,,0.0,,0.0,,106.0,,106.0,,0.0,,0.0,,0.0,,,
Stephen F. Austin State U.,3.0,,3.0,,0.0,,0.0,,0.0,,3.0,,3.0,,0.0,,0.0,,0.0,,,
Sul Ross State U.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Tarleton State U.,163.0,,0.0,,0.0,,0.0,,163.0,,163.0,,0.0,,0.0,,0.0,,163.0,,,
Texas A&M International U.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
"Texas A&M U., College Station and Health Science Center",92271.0,,28008.0,,20295.0,,6519.0,,37449.0,,74758.0,,21122.0,,13436.0,,5757.0,,34443.0,,,
Texas A&M U.-Commerce,270.0,,270.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Texas A&M U.-Corpus Christi,1496.0,,550.0,,885.0,,61.0,,0.0,,718.0,,430.0,,270.0,,18.0,,0.0,,,
Texas A&M U.-Kingsville,880.0,,573.0,,13.0,,0.0,,294.0,,708.0,,401.0,,13.0,,0.0,,294.0,,,
Texas Southern U.,177.0,,177.0,,0.0,,0.0,,0.0,,177.0,,177.0,,0.0,,0.0,,0.0,,,
Texas State U.,1622.0,,1460.0,,0.0,,32.0,,130.0,,1460.0,,1460.0,,0.0,,0.0,,0.0,,,
Texas Tech U.,4610.0,,1860.0,,1388.0,,1049.0,,313.0,,2567.0,,1598.0,,164.0,,514.0,,291.0,,,
"Texas Tech U., Health Sciences Center",894.0,,503.0,,0.0,,391.0,,0.0,,894.0,,503.0,,0.0,,391.0,,0.0,,,
"Texas Tech U., Health Sciences Center, El Paso",158.0,,158.0,,0.0,,0.0,,0.0,,158.0,,158.0,,0.0,,0.0,,0.0,,,
Texas Woman's U.,303.0,,67.0,,0.0,,0.0,,236.0,,303.0,,67.0,,0.0,,0.0,,236.0,,,
U. Houston,4760.0,,1038.0,,1026.0,,1815.0,,881.0,,3232.0,,1038.0,,443.0,,1715.0,,36.0,,,
U. Houston system administration,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
U. Houston-Clear Lake,2.0,,1.0,,0.0,,0.0,,1.0,,1.0,,1.0,,0.0,,0.0,,0.0,,,
U. Houston-Downtown,31.0,,31.0,,0.0,,0.0,,0.0,,31.0,,31.0,,0.0,,0.0,,0.0,,,
"U. North Texas, Denton",1129.0,,1064.0,,56.0,,5.0,,4.0,,998.0,,940.0,,54.0,,0.0,,4.0,,,
"U. North Texas, Health Science Center",3947.0,,2079.0,,610.0,,640.0,,618.0,,3467.0,,1706.0,,558.0,,640.0,,563.0,,,
"U. Texas Health Science Center, Houston",23240.0,,16386.0,,781.0,,4754.0,,1319.0,,22451.0,,16170.0,,516.0,,4532.0,,1233.0,,,
"U. Texas Health Science Center, San Antonio",10274.0,,7494.0,,0.0,,2630.0,,150.0,,9895.0,,7199.0,,0.0,,2562.0,,134.0,,,
"U. Texas Health Science Center, Tyler",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
U. Texas M. D. Anderson Cancer Center,15814.0,,10980.0,,733.0,,3726.0,,375.0,,11622.0,,7551.0,,722.0,,3141.0,,208.0,,,
U. Texas Medical Branch,8696.0,,4448.0,,2496.0,,547.0,,1205.0,,8696.0,,4448.0,,2496.0,,547.0,,1205.0,,,
U. Texas Pan American,1056.0,,972.0,,0.0,,0.0,,84.0,,556.0,,556.0,,0.0,,0.0,,0.0,,,
U. Texas Southwestern Medical Center,16957.0,,11019.0,,302.0,,4067.0,,1569.0,,14148.0,,8965.0,,204.0,,3488.0,,1491.0,,,
"U. Texas, Arlington",1438.0,,784.0,,81.0,,468.0,,105.0,,556.0,,450.0,,0.0,,1.0,,105.0,,,
"U. Texas, Austin",41092.0,,26967.0,,6181.0,i,4353.0,i,3591.0,i,27961.0,,18356.0,,4224.0,i,2983.0,i,2398.0,i,,
"U. Texas, Brownsville",435.0,,435.0,,0.0,,0.0,,0.0,,435.0,,435.0,,0.0,,0.0,,0.0,,,
"U. Texas, Dallas",474.0,,474.0,,0.0,,0.0,,0.0,,75.0,,75.0,,0.0,,0.0,,0.0,,,
"U. Texas, El Paso",8529.0,,5999.0,,1776.0,,47.0,,707.0,,8159.0,,5760.0,,1718.0,,47.0,,634.0,,,
"U. Texas, Permian Basin",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
"U. Texas, San Antonio",2004.0,,1461.0,,211.0,,148.0,,184.0,,1800.0,,1432.0,,211.0,,120.0,,37.0,,,
"U. Texas, Tyler",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
West Texas A&M U.,97.0,,0.0,,0.0,,0.0,,97.0,,97.0,,0.0,,0.0,,0.0,,97.0,,,
Private,,,,,,,,,,,,,,,,,,,,,,
Baylor C. of Medicine,42822.0,,29056.0,,2451.0,,6431.0,,4884.0,,39286.0,,26857.0,,2415.0,,5561.0,,4453.0,,,
Baylor U.,325.0,,257.0,,52.0,,16.0,,0.0,,229.0,,213.0,,0.0,,16.0,,0.0,,,
Rice U.,12765.0,,10370.0,,1243.0,,554.0,,598.0,,11435.0,,9293.0,,1157.0,,468.0,,517.0,,,
Southern Methodist U.,1479.0,,847.0,,422.0,,7.0,,203.0,,1437.0,,805.0,,422.0,,7.0,,203.0,,,
