Rank,Institution,2012,Unnamed: 3,2013,Unnamed: 5,2014,Unnamed: 7,2015,All life sciences,Unnamed: 10,Agricultural sciences,Unnamed: 12,Biological sciences,Unnamed: 14,Medical sciences,Unnamed: 16,"Life sciences, nec",Unnamed: 18,shift
488.0,Pomona C.,580,,556,,80,,187.0,,0.0,,187.0,,0.0,,0.0,,,0
490.0,St. Olaf C.,528,,212,,159,,177.0,,0.0,,177.0,,0.0,,0.0,,,0
490.0,"U. California, Office of the President",645,,520,,220,,177.0,,135.0,,0.0,,42.0,,0.0,,,0
492.0,Carleton C.,311,,336,,426,,174.0,,8.0,,166.0,,0.0,,0.0,,,0
492.0,Desert Research Institute,1749,,1993,,1622,,174.0,,0.0,,161.0,,0.0,,13.0,,,0
494.0,U.S. Military Academy,105,,70,,144,,170.0,,0.0,,0.0,,0.0,,170.0,,,0
495.0,Lake Superior State U.,ne,,ne,,ne,,169.0,,126.0,,43.0,,0.0,,0.0,,,0
496.0,U. Wisconsin-Green Bay,212,i,197,i,183,i,168.0,i,0.0,i,97.0,i,20.0,i,51.0,i,,0
497.0,Rider U.,283,,243,,194,,167.0,,0.0,,167.0,,0.0,,0.0,,,0
497.0,U. of the Incarnate Word,ne,,ne,,ne,,167.0,,0.0,,152.0,,15.0,,0.0,,,0
499.0,Loyola Marymount U.,134,,42,,117,,166.0,,0.0,,166.0,,0.0,,0.0,,,0
500.0,U. North Florida,508,,396,,350,,164.0,,0.0,,157.0,,0.0,,7.0,,,0
501.0,"U. Texas, Tyler",866,,656,,235,,163.0,,0.0,,71.0,,0.0,,92.0,,,0
502.0,"CUNY, C. Staten Island",292,,196,,254,,161.0,,0.0,,135.0,,0.0,,26.0,,,0
503.0,Texas A&M U.-Commerce,98,,328,,116,,156.0,,0.0,,156.0,,0.0,,0.0,,,0
504.0,"California State U., Stanislaus",924,,565,,288,,150.0,,0.0,,150.0,,0.0,,0.0,,,0
504.0,Dakota State U.,0,,24,,0,,150.0,,13.0,,0.0,,0.0,,137.0,,,0
504.0,Fairfield U.,72,i,67,,563,,150.0,,0.0,,150.0,,0.0,,0.0,,,0
504.0,Philadelphia C. of Osteopathic Medicine,674,,238,,62,,150.0,,0.0,,150.0,,0.0,,0.0,,,0
508.0,Bowie State U.,1136,,391,,604,,149.0,,0.0,,149.0,,0.0,,0.0,,,0
509.0,Siena C.,250,,122,,262,,141.0,,0.0,,141.0,,0.0,,0.0,,,0
509.0,U. Hartford,41,,82,,117,,141.0,,0.0,,0.0,,141.0,,0.0,,,0
511.0,U. San Diego,624,,569,,402,,137.0,,0.0,,122.0,,0.0,,15.0,,,0
512.0,"California State U., Chico",257,,365,,150,,134.0,,34.0,,100.0,,0.0,,0.0,,,0
512.0,"SUNY, Farmingdale State C.",0,,0,,0,,134.0,,0.0,,134.0,,0.0,,0.0,,,0
514.0,C. Wooster,76,,ne,,144,,133.0,i,47.0,i,86.0,i,0.0,i,0.0,i,,0
514.0,Colorado C.,69,,0,,98,,133.0,,0.0,,133.0,,0.0,,0.0,,,0
516.0,Norfolk State U.,178,,177,,296,,129.0,,0.0,,94.0,,0.0,,35.0,,,0
517.0,Rochester Institute of Technology,510,,188,,106,,128.0,,0.0,,128.0,,0.0,,0.0,,,0
518.0,Benedict C.,377,,219,,156,,126.0,,0.0,,124.0,,2.0,,0.0,,,0
519.0,"U. Minnesota, Morris",ne,,49,,114,,125.0,,0.0,,125.0,,0.0,,0.0,,,0
520.0,Ithaca C.,356,,271,,237,,124.0,,0.0,,16.0,,0.0,,108.0,,,0
520.0,Pittsburg State U.,154,,158,,201,,124.0,,0.0,,124.0,,0.0,,0.0,,,0
522.0,Alaska Pacific U.,ne,,ne,,ne,,121.0,,31.0,,90.0,,0.0,,0.0,,,0
523.0,Furman U.,156,,226,,98,,117.0,,0.0,,117.0,,0.0,,0.0,,,0
524.0,Salish Kootenai C.,512,,550,,137,i,116.0,,116.0,,0.0,,0.0,,0.0,,,0
524.0,Trinity U.,47,,888,,269,,116.0,,0.0,,116.0,,0.0,,0.0,,,0
526.0,Lafayette C.,261,,157,,110,,114.0,,0.0,,114.0,,0.0,,0.0,,,0
527.0,Dickinson C.,171,,108,,45,,111.0,,0.0,,111.0,,0.0,,0.0,,,0
528.0,Nicholls State U.,1250,,542,,293,,104.0,,0.0,,104.0,,0.0,,0.0,,,0
528.0,Pacific U.,30,,1624,,170,,104.0,,0.0,,14.0,,90.0,,0.0,,,0
530.0,Pepperdine U.,201,,126,,95,,101.0,,0.0,,101.0,,0.0,,0.0,,,0
531.0,U. Houston-Clear Lake,273,,332,,245,,100.0,,0.0,,100.0,,0.0,,0.0,,,0
531.0,U. West Georgia,74,,76,,51,,100.0,,0.0,,100.0,,0.0,,0.0,,,0
533.0,Macalester C.,278,,176,,107,,96.0,,0.0,,96.0,,0.0,,0.0,,,0
533.0,"Purdue U., Calumet",383,,268,,292,,96.0,,0.0,,23.0,,0.0,,73.0,,,0
533.0,Roger Williams U.,1239,,107,,149,,96.0,,0.0,,96.0,,0.0,,0.0,,,0
536.0,U. Wisconsin-Platteville,ne,,ne,,84,i,94.0,i,41.0,i,31.0,i,6.0,i,16.0,i,,0
537.0,Winthrop U.,335,,341,,276,,91.0,,0.0,,91.0,,0.0,,0.0,,,0
538.0,Edward Via C. of Osteopathic Medicine,502,,517,,250,,89.0,,0.0,,0.0,,89.0,,0.0,,,0
539.0,"U. Massachusetts, central office",402,,94,,135,,85.0,,0.0,,0.0,,0.0,,85.0,,,0
540.0,U. Northern Iowa,171,,230,,130,,83.0,,43.0,,40.0,,0.0,,0.0,,,0
541.0,La Salle U.,0,,52,,102,,82.0,,0.0,,36.0,,46.0,,0.0,,,0
542.0,Gonzaga U.,296,,234,,90,,80.0,,0.0,,80.0,,0.0,,0.0,,,0
543.0,Augsburg C.,0,,0,,ne,,74.0,,0.0,,74.0,,0.0,,0.0,,,0
544.0,Dillard U.,7135,,0,,0,,72.0,,0.0,,72.0,,0.0,,0.0,,,0
544.0,Doane C.,377,,ne,,396,,72.0,,0.0,,72.0,,0.0,,0.0,,,0
546.0,Coastal Carolina U.,104,,112,,90,,70.0,,0.0,,70.0,,0.0,,0.0,,,0
546.0,East Central U.,515,,ne,,10,,70.0,,0.0,,40.0,,30.0,,0.0,,,0
546.0,Valparaiso U.,57,,34,,34,,70.0,,0.0,,70.0,,0.0,,0.0,,,0
549.0,Central State U.,485,,70,,9,,69.0,,67.0,,2.0,,0.0,,0.0,,,0
550.0,"SUNY, Geneseo",66,,124,,104,,68.0,,0.0,,68.0,,0.0,,0.0,,,0
551.0,"U. North Carolina, general administration",ne,,ne,,ne,,67.0,,0.0,,67.0,,0.0,,0.0,,,0
552.0,Harvey Mudd C.,202,,222,,25,,66.0,,0.0,,66.0,,0.0,,0.0,,,0
553.0,Sewanee: U. of the South,72,,ne,,74,,64.0,,3.0,,61.0,,0.0,,0.0,,,0
554.0,"U. Alaska, Southeast",247,,285,,91,,59.0,,0.0,,3.0,,56.0,,0.0,,,0
555.0,"SUNY, Buffalo State",457,,374,,224,,58.0,,0.0,,31.0,,0.0,,27.0,,,0
556.0,Bradley U.,205,,83,,59,,57.0,,0.0,,57.0,,0.0,,0.0,,,0
557.0,U. del Turabo,45,,69,,42,,55.0,,0.0,,9.0,,0.0,,46.0,,,0
558.0,"Union C., Schenectady",145,,161,,118,,54.0,,0.0,,54.0,,0.0,,0.0,,,0
559.0,Central Connecticut State U.,129,,135,,142,,52.0,,0.0,,52.0,,0.0,,0.0,,,0
560.0,Hobart and William Smith Colleges,149,,184,,89,,49.0,,0.0,,49.0,,0.0,,0.0,,,0
560.0,"U. Illinois, Springfield",107,,63,,70,,49.0,,1.0,,48.0,,0.0,,0.0,,,0
562.0,"CUNY, York C.",343,,176,,ne,,47.0,,0.0,,47.0,,0.0,,0.0,,,0
562.0,"Indiana U., South Bend",0,,138,,106,,47.0,,0.0,,47.0,,0.0,,0.0,,,0
564.0,La Sierra U.,ne,,ne,,0,,45.0,,0.0,,45.0,,0.0,,0.0,,,0
565.0,"Wheaton C., Wheaton",0,,ne,,0,,43.0,,0.0,,43.0,,0.0,,0.0,,,0
566.0,Missouri U. of Science and Technology,23,,26,,26,,38.0,,0.0,,38.0,,0.0,,0.0,,,0
566.0,"Pennsylvania State U., Behrend",0,,33,,35,,38.0,,0.0,,38.0,,0.0,,0.0,,,0
568.0,Central Washington U.,349,,174,,61,,37.0,,0.0,,37.0,,0.0,,0.0,,,0
569.0,McNeese State U.,28,,53,,143,,32.0,,32.0,,0.0,,0.0,,0.0,,,0
570.0,"California State U., Channel Islands",ne,,0,,65,,31.0,,0.0,,31.0,,0.0,,0.0,,,0
570.0,Lamar U.,0,,50,,17,,31.0,,0.0,,31.0,,0.0,,0.0,,,0
572.0,"U. Texas, Permian Basin",143,,60,,8,,30.0,,0.0,,30.0,,0.0,,0.0,,,0
573.0,Stockton U.,5,,ne,,23,,29.0,,0.0,,0.0,,29.0,,0.0,,,0
574.0,Elon U.,51,,69,,46,,25.0,,0.0,,25.0,,0.0,,0.0,,,0
574.0,"Minnesota State U., Mankato",20,,13,,48,,25.0,,0.0,,25.0,,0.0,,0.0,,,0
576.0,Wiley C.,0,,0,,0,,22.0,,0.0,,22.0,,0.0,,0.0,,,0
577.0,National Defense U.,ne,,61,,90,,20.0,,0.0,,0.0,,20.0,,0.0,,,0
578.0,Mercyhurst U.,0,,0,,0,,15.0,,0.0,,0.0,,0.0,,15.0,,,0
579.0,Alfred U.,0,,0,,0,,9.0,,0.0,,9.0,,0.0,,0.0,,,0
580.0,Youngstown State U.,12,,51,,45,,8.0,,0.0,,8.0,,0.0,,0.0,,,0
581.0,Eastern Connecticut State U.,ne,,ne,,0,,7.0,,0.0,,7.0,,0.0,,0.0,,,0
581.0,U. Houston-Downtown,176,,158,,57,,7.0,,1.0,,0.0,,6.0,,0.0,,,0
583.0,"CUNY, system office",11,,3,,14,,6.0,,0.0,,6.0,,0.0,,0.0,,,0
583.0,Kettering U.,0,,0,,0,,6.0,,0.0,,6.0,,0.0,,0.0,,,0
583.0,"U. Michigan, Dearborn",0,,8,,33,,6.0,,0.0,,6.0,,0.0,,0.0,,,0
586.0,Hamilton C.,89,,30,,6,,5.0,,0.0,,5.0,,0.0,,0.0,,,0
586.0,Heidelberg U.,ne,,31,,16,,5.0,,0.0,,0.0,,0.0,,5.0,,,0
588.0,"U. North Carolina, Asheville",26,,20,,10,,1.0,,0.0,,1.0,,0.0,,0.0,,,0
All other surveyed institutions,218222,,133479,,4747,,0.0,,0.0,,0.0,,0.0,,0.0,,,,-1
