"State, institutional control, and institution",All R&D expenditures,Unnamed: 2,Source of funds,Federal government,Unnamed: 5,State and local government,Unnamed: 7,Institution funds,Unnamed: 9,Business,Unnamed: 11,Nonprofit organizations,Unnamed: 13,All other sources
U. Houston system administration,1027,,0,,1015,,12.0,,0.0,,0.0,,0,
U. Houston-Clear Lake,1535,,541,,568,,343.0,,35.0,,48.0,,0,
U. Houston-Downtown,2459,,1571,,254,,531.0,,32.0,,71.0,,0,
"U. North Texas, Denton",43628,,15470,,953,,23143.0,,2086.0,,1609.0,,367,
"U. North Texas, Health Science Center",46335,,22422,,11055,,9002.0,,2375.0,,1479.0,,2,
"U. Texas Health Science Center, Houston",234299,,125890,,39270,,25195.0,,9850.0,,20728.0,,13366,
"U. Texas Health Science Center, San Antonio",170277,,85940,,10817,,45250.0,,7856.0,,20414.0,,0,
"U. Texas Health Science Center, Tyler",12191,,3713,,4385,,2318.0,,0.0,,1775.0,,0,
U. Texas M. D. Anderson Cancer Center,833406,,161171,,244316,,174431.0,,81076.0,,37030.0,,135382,
U. Texas Medical Branch,173506,,98050,,2806,,50863.0,,3378.0,,18409.0,,0,
U. Texas Pan American,11266,,6054,,1212,,2794.0,,498.0,,690.0,,18,
U. Texas Southwestern Medical Center,438824,,183787,,78617,,54932.0,,20906.0,,56387.0,,44195,
"U. Texas, Arlington",77798,,27712,,16253,,23837.0,,8751.0,,978.0,,267,
"U. Texas, Austin",650608,,346215,,22261,,166856.0,,75268.0,,30577.0,,9431,
"U. Texas, Brownsville",5827,,3977,,1647,,95.0,,0.0,,108.0,,0,
"U. Texas, Dallas",98551,,31068,,10753,,33424.0,,6357.0,,16949.0,,0,
"U. Texas, El Paso",89418,,41897,,18282,,17205.0,,1359.0,,2906.0,,7769,
"U. Texas, Permian Basin",1725,,595,,386,,199.0,,135.0,,410.0,,0,
"U. Texas, San Antonio",54949,,23511,,16467,,9341.0,,941.0,,1038.0,,3651,
"U. Texas, Tyler",4610,,2570,,339,,1490.0,,211.0,,0.0,,0,
West Texas A&M U.,4513,,1860,,1805,,496.0,,266.0,,86.0,,0,
Private,742002,,365575,,35957,,216510.0,,34093.0,,83665.0,,6202,
Baylor C. of Medicine,520220,,256895,,23486,,157110.0,,16083.0,,66646.0,,0,
Baylor U.,24642,,3878,,1638,,14321.0,,1719.0,,1866.0,,1220,
Rice U.,144679,,74266,,8291,,33792.0,,10930.0,,13692.0,,3708,
Southern Methodist U.,29282,,14324,,1178,,9777.0,,3092.0,,763.0,,148,
St. Edward's U.,9515,,8000,,120,,165.0,,100.0,,100.0,,1030,
Texas Christian U.,8007,,4732,,966,,222.0,,2087.0,,,,0,
Trinity U.,2633,,1183,,8,,750.0,,82.0,,518.0,,92,
U. of the Incarnate Word,848,,403,,0,,373.0,,0.0,,68.0,,4,
Wiley C.,2176,,1894,,270,,0.0,,0.0,,12.0,,0,
Utah,733407,,418994,,44760,,150081.0,,78728.0,,35131.0,,5713,
Public,694281,,394744,,43199,,143132.0,,74260.0,,33305.0,,5641,
U. Utah,518928,,274375,,16549,,125107.0,,69856.0,,32739.0,,302,
Utah State U.,175353,,120369,,26650,,18025.0,,4404.0,,566.0,,5339,
Private,39126,,24250,,1561,,6949.0,,4468.0,,1826.0,,72,
"Brigham Young U., Provo",39126,,24250,,1561,,6949.0,,4468.0,,1826.0,,72,
Vermont,119663,,87542,,239,,23321.0,,2197.0,,5421.0,,943,
Public,114547,,83733,,224,,22150.0,,2193.0,,5304.0,,943,
U. Vermont,114547,,83733,,224,,22150.0,,2193.0,,5304.0,,943,
Private,5116,,3809,,15,,1171.0,,4.0,,117.0,,0,
Middlebury C.,1599,,1535,,0,,9.0,,3.0,,52.0,,0,
Norwich U.,1985,,1121,,15,,783.0,,1.0,,65.0,,0,
Saint Michael's C.,1532,,1153,,0,,379.0,,0.0,,0.0,,0,
Virginia,1411176,,738405,,73696,,472842.0,,61852.0,,52756.0,,11625,
Public,1348247,,692614,,72761,,464342.0,,60041.0,,47022.0,,11467,
C. of William and Mary and Virginia Institute of Marine Science,61554,,33129,,4513,,18563.0,,1262.0,,3670.0,,417,
Christopher Newport U.,1208,,1041,,15,,14.0,,43.0,,95.0,,0,
George Mason U.,106410,,63600,,1711,,31775.0,,2858.0,,5593.0,,873,
James Madison U.,3712,,2418,,20,,57.0,,,,,,1217,
Norfolk State U.,5348,,5104,,11,,0.0,,0.0,,26.0,,207,
Old Dominion U.,65092,,40002,,3456,,17960.0,,1247.0,,808.0,,1619,
U. of Mary Washington,690,,425,,9,,225.0,,11.0,,20.0,,0,
"U. Virginia, Charlottesville",373218,,203401,,3768,,122572.0,,17404.0,,22951.0,,3122,
Virginia Commonwealth U.,218925,,142447,,6698,,51736.0,,6924.0,,11120.0,,0,
Virginia Polytechnic Institute and State U.,504282,,196096,,52475,,218691.0,,30292.0,,2739.0,,3989,
Virginia State U.,7808,,4951,,85,,2749.0,,0.0,,0.0,,23,
Private,62929,,45791,,935,,8500.0,,1811.0,,5734.0,,158,
Eastern Virginia Medical School,42296,,28637,,787,,5573.0,,1796.0,,5345.0,,158,
Edward Via C. of Osteopathic Medicine,2237,,89,,0,,2087.0,,14.0,,47.0,,0,
Hampton U.,14895,,14735,,148,,12.0,,0.0,,0.0,,0,
U. Richmond,3069,,2013,,0,,828.0,,0.0,,228.0,,0,
Washington and Lee U.,432,,317,,0,,0.0,,1.0,,114.0,,0,
Washington,1549479,,1057818,,79523,,191416.0,,56583.0,,114471.0,,49668,
Public,1542977,,1055088,,79217,,190665.0,,56541.0,,112126.0,,49340,
Central Washington U.,2581,,1575,,444,,316.0,,203.0,,43.0,,0,
Eastern Washington U.,2973,,955,,782,,,,1164.0,,72.0,,0,
Northwest Indian C.,2530,i,1604,i,65,i,267.0,i,0.0,i,594.0,i,0,i
"U. Washington, Bothell",7657,,2236,,638,,661.0,,188.0,,3814.0,,120,
"U. Washington, Seattle",1180563,,906768,,19617,,69690.0,,42081.0,,97136.0,,45271,
"U. Washington, Tacoma",3618,,2515,,452,,114.0,,0.0,,375.0,,162,
Washington State U.,333134,,134889,,56775,,115560.0,,12548.0,,9593.0,,3769,
Western Washington U.,9921,,4546,,444,,4057.0,,357.0,,499.0,,18,
Private,6502,,2730,,306,,751.0,,42.0,,2345.0,,328,
Bastyr U.,1409,,540,,0,,8.0,,4.0,,857.0,,0,
Gonzaga U.,1145,,348,,68,,37.0,,4.0,,688.0,,0,
Seattle Pacific U.,1101,,915,,0,,100.0,,31.0,,46.0,,9,
Seattle U.,2847,,927,,238,,606.0,,3.0,,754.0,,319,
West Virginia,199167,,86603,,14437,,68841.0,,12832.0,,4355.0,,12099,
Public,197446,,85447,,14408,,68841.0,,12832.0,,3819.0,,12099,
Marshall U.,19936,,11154,,1544,,4975.0,,725.0,,1538.0,,0,
West Virginia State U.,7365,,5562,,1438,,193.0,,0.0,,0.0,,172,
West Virginia U.,170145,,68731,,11426,,63673.0,,12107.0,,2281.0,,11927,
Private,1721,,1156,,29,,0.0,,0.0,,536.0,,0,
Wheeling Jesuit U.,1721,,1156,,29,,0.0,,0.0,,536.0,,0,
Wisconsin,1373787,,683962,,95358,,451141.0,,40312.0,,70559.0,,32455,
Public,1145164,,563765,,94692,,384136.0,,26655.0,,49611.0,,26305,
U. Wisconsin-Green Bay,1320,,545,,46,,508.0,,80.0,,40.0,,101,
U. Wisconsin-La Crosse,3615,,1006,,875,,770.0,,603.0,,2.0,,359,
U. Wisconsin-Madison,1069077,,533286,,68250,,371776.0,,23708.0,,47200.0,,24857,
U. Wisconsin-Milwaukee,63414,,25587,,23783,,9529.0,,1963.0,,1572.0,,980,
U. Wisconsin-Oshkosh,2236,i,976,i,282,i,556.0,i,46.0,i,376.0,i,0,i
U. Wisconsin-Platteville,970,i,309,i,245,i,163.0,i,219.0,i,26.0,i,8,i
U. Wisconsin-Stevens Point,4532,i,2056,i,1211,i,834.0,i,36.0,i,395.0,i,0,i
Private,228623,,120197,,666,,67005.0,,13657.0,,20948.0,,6150,
Marquette U.,24816,,9320,,112,,9122.0,,942.0,,3140.0,,2180,
Medical C. Wisconsin,199283,,109542,,554,,57423.0,,10135.0,,17659.0,,3970,
Milwaukee School of Engineering,4524,,1335,,0,,460.0,,2580.0,,149.0,,0,
Wyoming,56996,,48970,,3362,,1803.0,,1993.0,,631.0,,237,
Public,56996,,48970,,3362,,1803.0,,1993.0,,631.0,,237,
U. Wyoming,56996,,48970,,3362,,1803.0,,1993.0,,631.0,,237,
American Samoa,1337,,1337,,0,,0.0,,0.0,,0.0,,0,
Public,1337,,1337,,0,,0.0,,0.0,,0.0,,0,
American Samoa Community C.,1337,,1337,,0,,0.0,,0.0,,0.0,,0,
Guam,6062,,5586,,82,,340.0,,42.0,,12.0,,0,
Public,6062,,5586,,82,,340.0,,42.0,,12.0,,0,
U. Guam,6062,,5586,,82,,340.0,,42.0,,12.0,,0,
Puerto Rico,126792,,87626,,3805,,29299.0,,4021.0,,1143.0,,898,
Public,102300,,68139,,3661,,25136.0,,4021.0,,1143.0,,200,
"U. Puerto Rico, Cayey",1521,,959,,0,,562.0,,0.0,,0.0,,0,
"U. Puerto Rico, Humacao",784,,669,,0,,115.0,,0.0,,0.0,,0,
"U. Puerto Rico, Mayaguez",28100,,15700,,492,,9268.0,,1572.0,,932.0,,136,
"U. Puerto Rico, Medical Sciences Campus",43316,,31889,,3119,,5925.0,,2383.0,,0.0,,0,
"U. Puerto Rico, Rio Piedras",28579,,18922,,50,,9266.0,,66.0,,211.0,,64,
Private,24492,,19487,,144,,4163.0,,0.0,,0.0,,698,
Ponce Health Sciences U.,7520,,6729,,97,,0.0,,0.0,,0.0,,694,
U. Central del Caribe,6964,,6147,,47,,766.0,,0.0,,0.0,,4,
U. del Este,1174,,530,,0,,644.0,,0.0,,0.0,,0,
U. del Turabo,2473,,447,,0,,2026.0,,0.0,,0.0,,0,
U. Metropolitana,6361,,5634,,0,,727.0,,0.0,,0.0,,0,
Virgin Islands,20630,,19456,,254,,0.0,,0.0,,0.0,,920,
Public,20630,,19456,,254,,0.0,,0.0,,0.0,,920,
U. of the Virgin Islands,20630,,19456,,254,,0.0,,0.0,,0.0,,920,
