"State, institutional control, and institution",2012,Unnamed: 2,2013,Unnamed: 4,2014,Unnamed: 6,2015,All personnel,Postdocsa,Unnamed: 10,Total,Unnamed: 12,Principal investigators,Unnamed: 14
U. Richmond,297,,230,,187,,147.0,,28.0,,119.0,,8.0,
Washington and Lee U.,ne,,21,,ne,,26.0,,3.0,,23.0,,0.0,
Washington,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,
Central Washington U.,131,,157,,374,,346.0,,77.0,,269.0,,0.0,
Eastern Washington U.,326,i,47,i,56,i,108.0,i,21.0,,87.0,i,0.0,
Northwest Indian C.,100,,98,,98,i,22.0,i,17.0,i,5.0,i,1.0,i
"U. Washington, Bothell",63,,86,,92,,130.0,,36.0,,94.0,,4.0,
"U. Washington, Seattle",12435,,13680,,13314,,13253.0,,2694.0,,10559.0,,1278.0,
"U. Washington, Tacoma",55,,123,,116,,136.0,,37.0,,99.0,,4.0,
Washington State U.,5560,,5678,,5551,,5347.0,,997.0,,4350.0,,220.0,
Western Washington U.,234,,235,,232,,210.0,,56.0,,154.0,,2.0,
Private,,,,,,,,,,,,,,
Bastyr U.,29,,27,,32,,32.0,i,10.0,i,22.0,i,0.0,i
Gonzaga U.,49,,38,,23,,20.0,,7.0,,13.0,,0.0,
Seattle Pacific U.,56,,41,,55,,49.0,,17.0,,32.0,,0.0,
Seattle U.,54,,ne,,75,,171.0,,64.0,,107.0,,0.0,
West Virginia,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,
Marshall U.,496,,485,,517,,509.0,,69.0,,440.0,,4.0,
West Virginia State U.,28,,28,,54,,56.0,,23.0,,33.0,,4.0,
West Virginia U.,3207,,3455,,3440,,3538.0,,496.0,,3042.0,,88.0,
Private,,,,,,,,,,,,,,
Wheeling Jesuit U.,101,,79,,62,,50.0,,7.0,,43.0,,4.0,
Wisconsin,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,
U. Wisconsin-Green Bay,2,i,2,i,2,i,2.0,i,0.0,i,2.0,i,0.0,i
U. Wisconsin-La Crosse,252,,303,,330,,353.0,,128.0,,225.0,,0.0,
U. Wisconsin-Madison,19067,,18740,,17579,,17315.0,,2807.0,,14508.0,,1005.0,
U. Wisconsin-Milwaukee,1657,,1914,,1887,,1773.0,,248.0,,1525.0,,117.0,
U. Wisconsin-Oshkosh,116,,113,,113,i,227.0,i,45.0,i,182.0,i,8.0,i
U. Wisconsin-Platteville,ne,,ne,,0,i,0.0,i,0.0,i,0.0,i,0.0,i
U. Wisconsin-Stevens Point,250,,253,,253,i,121.0,i,3.0,i,118.0,i,4.0,i
Private,,,,,,,,,,,,,,
Marquette U.,627,,661,,786,,923.0,,106.0,,817.0,,17.0,
Medical C. Wisconsin,2122,,2125,,2055,,2058.0,,486.0,,1572.0,,158.0,
Milwaukee School of Engineering,81,,73,,82,,95.0,,20.0,,75.0,,0.0,
Wyoming,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,
U. Wyoming,1194,i,1194,,1194,,1194.0,,207.0,,987.0,,81.0,
American Samoa,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,
American Samoa Community C.,ne,,ne,,ne,,35.0,,2.0,,33.0,,3.0,
Guam,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,
U. Guam,201,,202,,286,,259.0,,86.0,,173.0,,21.0,
Puerto Rico,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,
"U. Puerto Rico, Cayey",103,,68,,95,,88.0,,9.0,,79.0,,0.0,
"U. Puerto Rico, Humacao",25,,18,,14,,11.0,,5.0,,6.0,,0.0,
"U. Puerto Rico, Mayaguez",377,,701,,669,,556.0,,147.0,,409.0,,5.0,
"U. Puerto Rico, Medical Sciences Campus",266,,258,,266,,280.0,,118.0,,162.0,,15.0,
"U. Puerto Rico, Rio Piedras",686,,617,,445,,768.0,,49.0,,719.0,,23.0,
Private,,,,,,,,,,,,,,
Ponce Health Sciences U.,496,,193,,392,,104.0,,25.0,,79.0,,3.0,
U. Central del Caribe,142,,120,,133,,130.0,,42.0,,88.0,,3.0,
U. del Este,81,,56,,54,,56.0,,4.0,,52.0,,0.0,
U. del Turabo,232,,164,,110,,197.0,,56.0,,141.0,,0.0,
U. Metropolitana,562,,454,,594,,533.0,,6.0,,527.0,,0.0,
Virgin Islands,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,
U. of the Virgin Islands,219,i,219,,466,,452.0,,32.0,,420.0,,2.0,
