"State, institutional control, and institution",Total,Federally financed,All R&D expenditures received,Unnamed: 4,From educational pass-through entities,Unnamed: 6,From business,Unnamed: 8,From nonprofit organizations,Unnamed: 10,From other pass-through entities,Unnamed: 12,All R&D expenditures received.1,Unnamed: 14,From educational pass-through entities.1,Unnamed: 16,From business.1,Unnamed: 18,From nonprofit organizations.1,Unnamed: 20,From other pass-through entities.1,Unnamed: 22
Albany C. of Pharmacy and Health Sciences,270.0,,255.0,,0.0,,0.0,,15.0,,270.0,,255.0,,0.0,,0.0,,15.0,,,
Albany Medical C.,550.0,,288.0,,0.0,,262.0,,0.0,,539.0,,286.0,,0.0,,253.0,,0.0,,,
Alfred U.,1065.0,,193.0,,372.0,,0.0,,500.0,,648.0,,178.0,,37.0,,0.0,,433.0,,,
Barnard C.,64.0,,55.0,,0.0,,9.0,,0.0,,64.0,,55.0,,0.0,,9.0,,0.0,,,
Clarkson U.,1938.0,,682.0,,1194.0,,31.0,,31.0,,467.0,,405.0,,57.0,,0.0,,5.0,,,
Cold Spring Harbor Laboratory,7218.0,i,3813.0,i,1232.0,i,1633.0,i,540.0,i,6501.0,i,3544.0,i,1090.0,i,1394.0,i,473.0,i,,
Colgate U.,102.0,,99.0,,0.0,,3.0,,0.0,,88.0,,85.0,,0.0,,3.0,,0.0,,,
Columbia U. in the City of New York,83572.0,,46827.0,,10101.0,,13935.0,,12709.0,,69624.0,,42160.0,,7744.0,,10069.0,,9651.0,,,
"Columbia U., Teachers C.",2451.0,,1120.0,,142.0,,933.0,,256.0,,1673.0,,854.0,,0.0,,563.0,,256.0,,,
Cornell U.,73694.0,i,41057.0,,7203.0,i,22289.0,i,3145.0,i,60739.0,,33954.0,,5419.0,,19136.0,,2230.0,,,
Fordham U.,1410.0,,853.0,,0.0,,146.0,,411.0,,1172.0,,853.0,,0.0,,133.0,,186.0,,,
Hamilton C.,18.0,,17.0,,0.0,,0.0,,1.0,,18.0,,17.0,,0.0,,0.0,,1.0,,,
Hobart and William Smith Colleges,103.0,,70.0,,0.0,,0.0,,33.0,,103.0,,70.0,,0.0,,0.0,,33.0,,,
Hofstra U.,160.0,,132.0,,0.0,,28.0,,0.0,,160.0,,132.0,,0.0,,28.0,,0.0,,,
Icahn School of Medicine at Mt. Sinai,34854.0,,18712.0,,2725.0,,11966.0,,1451.0,,32502.0,,17027.0,,2725.0,,11351.0,,1399.0,,,
Ithaca C.,413.0,,413.0,,0.0,,0.0,,0.0,,413.0,,413.0,,0.0,,0.0,,0.0,,,
Marist C.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
"Memorial Sloan Kettering Cancer Center, Louis V. Gerstner Jr. Graduate S. of Biomedical Sciences",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
New School,483.0,,384.0,,48.0,,21.0,,30.0,,410.0,,311.0,,48.0,,21.0,,30.0,,,
New York Institute of Technology,446.0,,216.0,,156.0,,74.0,,0.0,,446.0,,216.0,,156.0,,74.0,,0.0,,,
New York Medical C.,1876.0,,1298.0,,556.0,,22.0,,0.0,,1876.0,,1298.0,,556.0,,22.0,,0.0,,,
New York U.,54360.0,,26677.0,,5668.0,,20814.0,,1201.0,,49697.0,,23630.0,,5323.0,,19683.0,,1061.0,,,
Niagara U.,263.0,,0.0,,0.0,,239.0,,24.0,,108.0,,0.0,,0.0,,108.0,,0.0,,,
Pace U.,33.0,,33.0,,0.0,,0.0,,0.0,,33.0,,33.0,,0.0,,0.0,,0.0,,,
Rensselaer Polytechnic Institute,16369.0,,7425.0,,7159.0,,0.0,,1785.0,,15353.0,,6890.0,,6748.0,,0.0,,1715.0,,,
Rochester Institute of Technology,4059.0,,1510.0,,1177.0,,566.0,,806.0,,3796.0,,1312.0,,1124.0,,554.0,,806.0,,,
Rockefeller U.,11941.0,,7234.0,,298.0,,4409.0,,0.0,,9307.0,,6961.0,,298.0,,2048.0,,0.0,,,
Siena C.,114.0,,79.0,,0.0,,0.0,,35.0,,73.0,,73.0,,0.0,,0.0,,0.0,,,
Skidmore C.,56.0,,56.0,,0.0,,0.0,,0.0,,36.0,,36.0,,0.0,,0.0,,0.0,,,
"St. John's U., Manhattan",149.0,i,149.0,i,0.0,i,0.0,i,0.0,i,0.0,i,0.0,i,0.0,i,0.0,i,0.0,i,,
Syracuse U.,6872.0,,4474.0,,849.0,,826.0,,723.0,,6221.0,,4076.0,,789.0,,647.0,,709.0,,,
U. Rochester,23680.0,i,13815.0,i,4747.0,i,4647.0,i,471.0,i,21315.0,,12704.0,,4388.0,,4077.0,,146.0,,,
"Union C., Schenectady",133.0,,27.0,,106.0,,0.0,,0.0,,133.0,,27.0,,106.0,,0.0,,0.0,,,
Vassar C.,60.0,,60.0,,0.0,,0.0,,0.0,,60.0,,60.0,,0.0,,0.0,,0.0,,,
Yeshiva U.,20400.0,,12849.0,,2053.0,,5498.0,,0.0,,17499.0,,11449.0,,1251.0,,4799.0,,0.0,,,
North Carolina,,,,,,,,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,,,,,,,,
Appalachian State U.,319.0,,104.0,,131.0,,52.0,,32.0,,319.0,,104.0,,131.0,,52.0,,32.0,,,
East Carolina U.,5560.0,,1739.0,,553.0,,513.0,,2755.0,,5295.0,,1500.0,,527.0,,513.0,,2755.0,,,
Elizabeth City State U.,175.0,,175.0,,0.0,,0.0,,0.0,,169.0,,169.0,,0.0,,0.0,,0.0,,,
Fayetteville State U.,235.0,,211.0,,0.0,,0.0,,24.0,,163.0,,163.0,,0.0,,0.0,,0.0,,,
North Carolina Agricultural and Technical State U.,3250.0,,2938.0,,127.0,,166.0,,19.0,,3110.0,,2829.0,,115.0,,166.0,,0.0,,,
North Carolina Central U.,1310.0,,853.0,,194.0,,109.0,,154.0,,1107.0,,830.0,,183.0,,94.0,,0.0,,,
North Carolina State U.,34765.0,i,30089.0,i,2701.0,i,1229.0,i,746.0,i,28262.0,i,27861.0,,108.0,i,105.0,i,188.0,i,,
"U. North Carolina, Asheville",705.0,,640.0,,27.0,,1.0,,37.0,,678.0,,613.0,,27.0,,1.0,,37.0,,,
"U. North Carolina, Chapel Hill",79202.0,,46150.0,,8622.0,,16214.0,,8216.0,,65727.0,,36388.0,,7894.0,,14379.0,,7066.0,,,
"U. North Carolina, Charlotte",5622.0,,2109.0,,1423.0,,136.0,,1954.0,,5395.0,,2109.0,,1328.0,,80.0,,1878.0,,,
"U. North Carolina, general administration",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
"U. North Carolina, Greensboro",4782.0,,2760.0,,164.0,,102.0,,1756.0,,4782.0,,2760.0,,164.0,,102.0,,1756.0,,,
"U. North Carolina, Wilmington",3446.0,,1160.0,,863.0,,350.0,,1073.0,,2685.0,,1077.0,,855.0,,157.0,,596.0,,,
Western Carolina U.,14.0,,0.0,,0.0,,14.0,,0.0,,14.0,,0.0,,0.0,,14.0,,0.0,,,
Private,,,,,,,,,,,,,,,,,,,,,,
Davidson C.,24.0,,24.0,,0.0,,0.0,,0.0,,18.0,,18.0,,0.0,,0.0,,0.0,,,
Duke U.,82690.0,i,47414.0,i,10703.0,i,19056.0,i,5517.0,i,69291.0,,41449.0,,8263.0,,15833.0,,3746.0,,,
Elon U.,59.0,,59.0,,0.0,,0.0,,0.0,,59.0,,59.0,,0.0,,0.0,,0.0,,,
Shaw U.,0.0,i,0.0,i,0.0,i,0.0,i,0.0,i,0.0,i,0.0,i,0.0,i,0.0,i,0.0,i,,
Wake Forest U.,28548.0,,19111.0,,1111.0,,3056.0,,5270.0,,22671.0,,13872.0,,1111.0,,2418.0,,5270.0,,,
North Dakota,,,,,,,,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,,,,,,,,
North Dakota State U.,8531.0,,2513.0,,1924.0,,619.0,,3475.0,,7836.0,,2082.0,,1886.0,,591.0,,3277.0,,,
U. North Dakota,24039.0,i,1887.0,i,12360.0,i,1719.0,i,8073.0,i,3730.0,,1470.0,,1780.0,,281.0,,199.0,,,
Ohio,,,,,,,,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,,,,,,,,
Air Force Institute of Technology,342.0,,151.0,,191.0,,0.0,,0.0,,342.0,,151.0,,191.0,,0.0,,0.0,,,
Bowling Green State U.,1037.0,,715.0,,102.0,,122.0,,98.0,,461.0,,183.0,,102.0,,122.0,,54.0,,,
Central State U.,258.0,,146.0,,96.0,,16.0,,0.0,,258.0,,146.0,,96.0,,16.0,,0.0,,,
Cleveland State U.,2210.0,,1055.0,,235.0,,638.0,,282.0,,2068.0,,963.0,,235.0,,620.0,,250.0,,,
Kent State U.,2698.0,,1344.0,,171.0,,104.0,,1079.0,,2628.0,,1274.0,,171.0,,104.0,,1079.0,,,
Miami U.,2971.0,,1317.0,,331.0,,182.0,,1141.0,,2945.0,,1317.0,,321.0,,182.0,,1125.0,,,
Northeast Ohio Medical U.,465.0,,319.0,,77.0,,13.0,,56.0,,277.0,,165.0,,52.0,,4.0,,56.0,,,
Ohio State U.,125088.0,,38248.0,,17035.0,,25286.0,,44519.0,,110124.0,,32793.0,,15202.0,,22008.0,,40121.0,,,
Ohio U.,4643.0,,2059.0,,923.0,,908.0,,753.0,,4168.0,,1757.0,,849.0,,836.0,,726.0,,,
U. Akron,7280.0,,1423.0,,743.0,,3299.0,,1815.0,,3624.0,,544.0,,590.0,,965.0,,1525.0,,,
U. Cincinnati,19665.0,,9075.0,,3255.0,,5559.0,,1776.0,,17410.0,,7995.0,,3026.0,,5169.0,,1220.0,,,
U. Toledo,7165.0,,1825.0,,2557.0,,2231.0,,552.0,,6586.0,,1655.0,,2172.0,,2225.0,,534.0,,,
Wright State U.,12822.0,,2624.0,,7016.0,,3017.0,,165.0,,8071.0,,2429.0,,4031.0,,1454.0,,157.0,,,
Youngstown State U.,171.0,,96.0,,0.0,,75.0,,0.0,,171.0,,96.0,,0.0,,75.0,,0.0,,,
Private,,,,,,,,,,,,,,,,,,,,,,
C. Wooster,145.0,i,145.0,i,0.0,i,0.0,i,0.0,i,145.0,i,145.0,i,0.0,i,0.0,i,0.0,i,,
Case Western Reserve U.,40520.0,,23252.0,,4556.0,,12209.0,,503.0,,37150.0,,21168.0,,4295.0,,11281.0,,406.0,,,
Heidelberg U.,73.0,,28.0,,11.0,,8.0,,26.0,,73.0,,28.0,,11.0,,8.0,,26.0,,,
Oberlin C.,38.0,,38.0,,0.0,,0.0,,0.0,,38.0,,38.0,,0.0,,0.0,,0.0,,,
U. Dayton,16324.0,,994.0,,12197.0,,836.0,,2297.0,,15436.0,,283.0,,12138.0,,720.0,,2295.0,,,
Oklahoma,,,,,,,,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,,,,,,,,
East Central U.,81.0,,80.0,,1.0,,0.0,,0.0,,80.0,,80.0,,0.0,,0.0,,0.0,,,
Langston U.,100.0,,100.0,,0.0,,0.0,,0.0,,100.0,,100.0,,0.0,,0.0,,0.0,,,
"Oklahoma State U., Center for Health Sciences",122.0,,0.0,,11.0,,0.0,,111.0,,122.0,,0.0,,11.0,,0.0,,111.0,,,
"Oklahoma State U., Stillwater",8469.0,,2864.0,,1866.0,,696.0,,3043.0,,7875.0,,2864.0,,1772.0,,549.0,,2690.0,,,
U. Central Oklahoma,1416.0,,876.0,,12.0,,253.0,,275.0,,1416.0,,876.0,,12.0,,253.0,,275.0,,,
"U. Oklahoma, Norman and Health Science Center",23982.0,,6637.0,,4220.0,,4801.0,,8324.0,,23337.0,,6148.0,,4077.0,,4788.0,,8324.0,,,
"U. Oklahoma, Tulsa",491.0,,30.0,,199.0,,3.0,,259.0,,491.0,,30.0,,199.0,,3.0,,259.0,,,
Private,,,,,,,,,,,,,,,,,,,,,,
U. Tulsa,1618.0,,1255.0,,78.0,,250.0,,35.0,,1513.0,,1238.0,,6.0,,250.0,,19.0,,,
Oregon,,,,,,,,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,,,,,,,,
Oregon Health and Science U.,32766.0,,18331.0,,4622.0,,9659.0,,154.0,,26635.0,,15658.0,,3670.0,,7153.0,,154.0,,,
Oregon Institute of Technology,219.0,,172.0,,0.0,,47.0,,0.0,,219.0,,172.0,,0.0,,47.0,,0.0,,,
Oregon State U.,39063.0,,16395.0,,5182.0,,11367.0,,6119.0,,35255.0,,15380.0,,4885.0,,9203.0,,5787.0,,,
Portland State U.,7703.0,,3032.0,,915.0,,725.0,,3031.0,,6805.0,,2536.0,,880.0,,642.0,,2747.0,,,
U. Oregon,14431.0,,6261.0,,807.0,,3934.0,,3429.0,,13137.0,,5485.0,,632.0,,3689.0,,3331.0,,,
Private,,,,,,,,,,,,,,,,,,,,,,
Lewis and Clark C.,29.0,,19.0,,0.0,,10.0,,0.0,,29.0,,19.0,,0.0,,10.0,,0.0,,,
Pacific U.,555.0,,419.0,,0.0,,0.0,,136.0,,357.0,,319.0,,0.0,,0.0,,38.0,,,
Reed C.,497.0,,497.0,,0.0,,0.0,,0.0,,497.0,,497.0,,0.0,,0.0,,0.0,,,
U. Western States,10.0,,10.0,,0.0,,0.0,,0.0,,10.0,,10.0,,0.0,,0.0,,0.0,,,
Willamette U.,40.0,,40.0,,0.0,,0.0,,0.0,,40.0,,40.0,,0.0,,0.0,,0.0,,,
Pennsylvania,,,,,,,,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,,,,,,,,
"Pennsylvania State U., Behrend",92.0,,66.0,,0.0,,26.0,,0.0,,66.0,,66.0,,0.0,,0.0,,0.0,,,
"Pennsylvania State U., Harrisburg",31.0,,31.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
"Pennsylvania State U., University Park and Hershey Medical Center",55626.0,i,33919.0,,21707.0,i,0.0,,0.0,,47854.0,,27897.0,,19957.0,,0.0,,0.0,,,
Temple U.,18686.0,,11320.0,,1078.0,,5460.0,,828.0,,17168.0,,9802.0,,1078.0,,5460.0,,828.0,,,
"U. Pittsburgh, Pittsburgh",75216.0,,40328.0,,9086.0,,25469.0,,333.0,,72626.0,,37738.0,,9086.0,,25469.0,,333.0,,,
West Chester U. Pennsylvania,222.0,,184.0,,0.0,,38.0,,0.0,,212.0,,174.0,,0.0,,38.0,,0.0,,,
Private,,,,,,,,,,,,,,,,,,,,,,
Bryn Mawr C.,321.0,,229.0,,92.0,,0.0,,0.0,,319.0,,227.0,,92.0,,0.0,,0.0,,,
Bucknell U.,78.0,,76.0,,0.0,,2.0,,0.0,,76.0,,76.0,,0.0,,0.0,,0.0,,,
Carnegie Mellon U.,50693.0,,20772.0,,17036.0,,6169.0,,6716.0,,48651.0,,18956.0,,17036.0,,6019.0,,6640.0,,,
Commonwealth Medical C.,103.0,,103.0,,0.0,,0.0,,0.0,,103.0,,103.0,,0.0,,0.0,,0.0,,,
Dickinson C.,16.0,,13.0,,0.0,,0.0,,3.0,,12.0,,9.0,,0.0,,0.0,,3.0,,,
Drexel U.,17613.0,,9717.0,,2693.0,,3589.0,,1614.0,,15773.0,,9193.0,,2448.0,,2921.0,,1211.0,,,
Duquesne U.,1268.0,,703.0,,0.0,,267.0,,298.0,,862.0,,596.0,,0.0,,224.0,,42.0,,,
Franklin and Marshall C.,333.0,,333.0,,0.0,,0.0,,0.0,,333.0,,333.0,,0.0,,0.0,,0.0,,,
Haverford C.,216.0,,216.0,,0.0,,0.0,,0.0,,216.0,,216.0,,0.0,,0.0,,0.0,,,
La Salle U.,82.0,,82.0,,0.0,,0.0,,0.0,,82.0,,82.0,,0.0,,0.0,,0.0,,,
Lafayette C.,126.0,,126.0,,0.0,,0.0,,0.0,,126.0,,126.0,,0.0,,0.0,,0.0,,,
Lehigh U.,3850.0,,2449.0,,1049.0,,210.0,,142.0,,3839.0,,2449.0,,1049.0,,210.0,,131.0,,,
Mercyhurst U.,420.0,,47.0,,0.0,,15.0,,358.0,,151.0,,17.0,,0.0,,15.0,,119.0,,,
Philadelphia C. of Osteopathic Medicine,192.0,,192.0,,0.0,,0.0,,0.0,,192.0,,192.0,,0.0,,0.0,,0.0,,,
Saint Joseph's U.,28.0,,27.0,,0.0,,1.0,,0.0,,22.0,,21.0,,0.0,,1.0,,0.0,,,
Salus U.,216.0,,197.0,,0.0,,19.0,,0.0,,216.0,,197.0,,0.0,,19.0,,0.0,,,
Swarthmore C.,244.0,,244.0,,0.0,,0.0,,0.0,,244.0,,244.0,,0.0,,0.0,,0.0,,,
Thomas Jefferson U.,8055.0,,4600.0,,671.0,,2619.0,,165.0,,7308.0,,4477.0,,551.0,,2116.0,,164.0,,,
U. of the Sciences Philadelphia,413.0,,413.0,,0.0,,0.0,,0.0,,388.0,,388.0,,0.0,,0.0,,0.0,,,
U. Pennsylvania,89803.0,,46255.0,,13199.0,,29351.0,,998.0,,78198.0,,43493.0,,8567.0,,25232.0,,906.0,,,
Villanova U.,889.0,,596.0,,179.0,,0.0,,114.0,,645.0,,382.0,,155.0,,0.0,,108.0,,,
Rhode Island,,,,,,,,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,,,,,,,,
Naval War C.,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
Rhode Island C.,5228.0,,1195.0,,0.0,,12.0,,4021.0,,5228.0,,1195.0,,0.0,,12.0,,4021.0,,,
U. Rhode Island,7512.0,,4000.0,,1434.0,,1940.0,,138.0,,7354.0,,3858.0,,1420.0,,1938.0,,138.0,,,
Private,,,,,,,,,,,,,,,,,,,,,,
Brown U.,20496.0,,9700.0,,1511.0,,6850.0,,2435.0,,18533.0,,8994.0,,1197.0,,6382.0,,1960.0,,,
Providence C.,996.0,,986.0,,0.0,,10.0,,0.0,,956.0,,956.0,,0.0,,0.0,,0.0,,,
Rhode Island School of Design,295.0,,252.0,,0.0,,0.0,,43.0,,252.0,,252.0,,0.0,,0.0,,0.0,,,
Roger Williams U.,1486.0,,899.0,,2.0,,189.0,,396.0,,1167.0,,899.0,,0.0,,113.0,,155.0,,,
South Carolina,,,,,,,,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,,,,,,,,
C. Charleston,1333.0,,926.0,,0.0,,73.0,,334.0,,1121.0,,797.0,,0.0,,0.0,,324.0,,,
Clemson U.,11931.0,i,5179.0,i,1802.0,i,1778.0,i,3172.0,i,10301.0,,4543.0,i,1592.0,i,1560.0,i,2606.0,i,,
Coastal Carolina U.,754.0,,206.0,,304.0,,10.0,,234.0,,754.0,,206.0,,304.0,,10.0,,234.0,,,
Medical U. South Carolina,17044.0,,10494.0,,2276.0,,3327.0,,947.0,,16728.0,,10490.0,,1984.0,,3307.0,,947.0,,,
South Carolina State U.,590.0,,590.0,,0.0,,0.0,,0.0,,590.0,,590.0,,0.0,,0.0,,0.0,,,
"U. South Carolina, Aiken",157.0,,5.0,,0.0,,152.0,,0.0,,157.0,,5.0,,0.0,,152.0,,0.0,,,
"U. South Carolina, Beaufort",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
"U. South Carolina, Columbia",21327.0,,3867.0,,2996.0,,14120.0,,344.0,,17803.0,,3704.0,,1193.0,,12608.0,,298.0,,,
Winthrop U.,4775.0,,467.0,,0.0,,0.0,,4308.0,,3566.0,,467.0,,0.0,,0.0,,3099.0,,,
Private,,,,,,,,,,,,,,,,,,,,,,
Benedict C.,114.0,,114.0,,0.0,,0.0,,0.0,,114.0,,114.0,,0.0,,0.0,,0.0,,,
Claflin U.,452.0,,451.0,,0.0,,0.0,,1.0,,451.0,,451.0,,0.0,,0.0,,0.0,,,
Furman U.,817.0,,780.0,,0.0,,37.0,,0.0,,728.0,,691.0,,0.0,,37.0,,0.0,,,
South Dakota,,,,,,,,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,,,,,,,,
Black Hills State U.,606.0,,532.0,,5.0,,0.0,,69.0,,595.0,,521.0,,5.0,,0.0,,69.0,,,
Dakota State U.,200.0,,137.0,,0.0,,0.0,,63.0,,150.0,,137.0,,0.0,,0.0,,13.0,,,
South Dakota School of Mines and Technology,4146.0,,2218.0,,1401.0,,0.0,,527.0,,3253.0,,1847.0,,1401.0,,0.0,,5.0,,,
South Dakota State U.,6748.0,,3561.0,,278.0,,224.0,,2685.0,,6086.0,,3219.0,,56.0,,216.0,,2595.0,,,
U. South Dakota,1828.0,,1335.0,,0.0,,182.0,,311.0,,1156.0,,663.0,,0.0,,182.0,,311.0,,,
Private,,,,,,,,,,,,,,,,,,,,,,
"Augustana C., Sioux Falls",516.0,,516.0,,0.0,,0.0,,0.0,,516.0,,516.0,,0.0,,0.0,,0.0,,,
Tennessee,,,,,,,,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,,,,,,,,
Austin Peay State U.,61.0,,0.0,,0.0,,0.0,,61.0,,61.0,,0.0,,0.0,,0.0,,61.0,,,
East Tennessee State U.,583.0,,404.0,,0.0,,179.0,,0.0,,583.0,,404.0,,0.0,,179.0,,0.0,,,
Middle Tennessee State U.,314.0,,282.0,,0.0,,0.0,,32.0,,314.0,,282.0,,0.0,,0.0,,32.0,,,
Tennessee State U.,1291.0,,776.0,,378.0,,10.0,,127.0,,1291.0,,776.0,,378.0,,10.0,,127.0,,,
Tennessee Technological U.,1694.0,,325.0,,158.0,,306.0,,905.0,,1313.0,,284.0,,68.0,,277.0,,684.0,,,
U. Memphis,6742.0,,2582.0,,1040.0,,1357.0,,1763.0,,6129.0,,2573.0,,785.0,,1008.0,,1763.0,,,
"U. Tennessee, Chattanooga",382.0,i,34.0,i,40.0,i,48.0,i,260.0,i,240.0,,8.0,,0.0,,0.0,,232.0,,,
"U. Tennessee, Health Science Center",5975.0,i,3234.0,i,561.0,i,1248.0,i,932.0,i,5610.0,,3109.0,,503.0,,1186.0,,812.0,,,
"U. Tennessee, Knoxville",20878.0,i,10806.0,i,4808.0,i,772.0,i,4492.0,i,19939.0,,10485.0,,4670.0,,616.0,,4168.0,,,
"U. Tennessee, Knoxville, Institute of Agriculture",3041.0,i,1779.0,i,206.0,i,306.0,i,750.0,i,2326.0,,1534.0,,84.0,,183.0,,525.0,,,
Private,,,,,,,,,,,,,,,,,,,,,,
Fisk U.,283.0,i,283.0,i,0.0,i,0.0,i,0.0,i,283.0,i,283.0,i,0.0,i,0.0,i,0.0,i,,
Meharry Medical C.,1830.0,,1830.0,,0.0,,0.0,,0.0,,1830.0,,1830.0,,0.0,,0.0,,0.0,,,
Sewanee: U. of the South,3.0,,3.0,,0.0,,0.0,,0.0,,3.0,,3.0,,0.0,,0.0,,0.0,,,
Vanderbilt U.,52373.0,,28063.0,,15983.0,,4471.0,,3856.0,,51744.0,,27733.0,,15684.0,,4471.0,,3856.0,,,
Texas,,,,,,,,,,,,,,,,,,,,,,
Public,,,,,,,,,,,,,,,,,,,,,,
Lamar U.,141.0,,0.0,,0.0,,0.0,,141.0,,98.0,,0.0,,0.0,,0.0,,98.0,,,
Prairie View A&M U.,676.0,,424.0,,210.0,,42.0,,0.0,,676.0,,424.0,,210.0,,42.0,,0.0,,,
Sam Houston State U.,440.0,,34.0,,8.0,,49.0,,349.0,,366.0,,34.0,,8.0,,47.0,,277.0,,,
Stephen F. Austin State U.,442.0,,28.0,,0.0,,65.0,,349.0,,419.0,,28.0,,0.0,,60.0,,331.0,,,
Sul Ross State U.,247.0,,0.0,,0.0,,176.0,,71.0,,247.0,,0.0,,0.0,,176.0,,71.0,,,
Tarleton State U.,1398.0,,116.0,,0.0,,139.0,,1143.0,,816.0,,101.0,,0.0,,139.0,,576.0,,,
Texas A&M International U.,67.0,,67.0,,0.0,,0.0,,0.0,,67.0,,67.0,,0.0,,0.0,,0.0,,,
"Texas A&M U., College Station and Health Science Center",80256.0,,35582.0,,11059.0,,15006.0,,18609.0,,69539.0,,32950.0,,10074.0,,15006.0,,11509.0,,,
Texas A&M U.-Commerce,153.0,,67.0,,0.0,,86.0,,0.0,,86.0,,0.0,,0.0,,86.0,,0.0,,,
Texas A&M U.-Corpus Christi,5868.0,,1879.0,,884.0,,285.0,,2820.0,,5794.0,,1839.0,,884.0,,285.0,,2786.0,,,
Texas A&M U.-Kingsville,1997.0,i,746.0,i,30.0,i,362.0,i,859.0,i,1808.0,,682.0,,0.0,,330.0,,796.0,,,
Texas Southern U.,1447.0,,604.0,,285.0,,205.0,,353.0,,1447.0,,604.0,,285.0,,205.0,,353.0,,,
Texas State U.,2185.0,,1062.0,,875.0,,168.0,,80.0,,2169.0,,1046.0,,875.0,,168.0,,80.0,,,
Texas Tech U.,11215.0,i,4751.0,i,2669.0,i,1545.0,i,2250.0,i,9408.0,,4133.0,,2370.0,,1237.0,,1668.0,,,
"Texas Tech U., Health Sciences Center",3084.0,,722.0,,192.0,,111.0,,2059.0,,1025.0,,722.0,,192.0,,111.0,,0.0,,,
"Texas Tech U., Health Sciences Center, El Paso",808.0,,334.0,,0.0,,132.0,,342.0,,422.0,,290.0,,0.0,,132.0,,0.0,,,
Texas Woman's U.,458.0,,450.0,,0.0,,8.0,,0.0,,458.0,,450.0,,0.0,,8.0,,0.0,,,
U. Houston,18132.0,,6071.0,,3972.0,,1580.0,,6509.0,,15119.0,,5476.0,,3757.0,,1533.0,,4353.0,,,
U. Houston system administration,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
U. Houston-Clear Lake,462.0,,43.0,,193.0,,0.0,,226.0,,350.0,,43.0,,116.0,,0.0,,191.0,,,
U. Houston-Downtown,91.0,,91.0,,0.0,,0.0,,0.0,,85.0,,85.0,,0.0,,0.0,,0.0,,,
"U. North Texas, Denton",4418.0,,2121.0,,1243.0,,395.0,,659.0,,3903.0,,1810.0,,1179.0,,395.0,,519.0,,,
"U. North Texas, Health Science Center",2069.0,,1035.0,,595.0,,191.0,,248.0,,1956.0,,981.0,,590.0,,157.0,,228.0,,,
"U. Texas Health Science Center, Houston",25108.0,,18582.0,,2308.0,,2985.0,,1233.0,,21505.0,,15525.0,,2308.0,,2985.0,,687.0,,,
"U. Texas Health Science Center, San Antonio",9645.0,i,6116.0,i,964.0,i,1926.0,i,639.0,i,7962.0,,5661.0,,478.0,,1584.0,,239.0,,,
"U. Texas Health Science Center, Tyler",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,
U. Texas M. D. Anderson Cancer Center,28042.0,,17783.0,,2681.0,,6875.0,,703.0,,25327.0,,15926.0,,1996.0,,6753.0,,652.0,,,
U. Texas Medical Branch,16720.0,,8353.0,,3978.0,,2479.0,,1910.0,,14964.0,,8296.0,,3978.0,,2479.0,,211.0,,,
U. Texas Pan American,1835.0,,741.0,,110.0,,688.0,,296.0,,932.0,,736.0,,0.0,,0.0,,196.0,,,
U. Texas Southwestern Medical Center,179503.0,,14716.0,,26334.0,,96510.0,,41943.0,,22048.0,,14662.0,,794.0,,5657.0,,935.0,,,
"U. Texas, Arlington",8466.0,,3330.0,,1188.0,,400.0,,3548.0,,6776.0,,3105.0,,0.0,,283.0,,3388.0,,,
"U. Texas, Austin",175280.0,,31483.0,,84694.0,,40819.0,,18284.0,,58726.0,,25711.0,,9348.0,,10242.0,,13425.0,,,
"U. Texas, Brownsville",930.0,,214.0,,0.0,,0.0,,716.0,,930.0,,214.0,,0.0,,0.0,,716.0,,,
"U. Texas, Dallas",2691.0,,1381.0,,0.0,,937.0,,373.0,,1519.0,,1366.0,,0.0,,0.0,,153.0,,,
"U. Texas, El Paso",7351.0,,2965.0,,2193.0,,1631.0,,562.0,,7027.0,,2915.0,,2193.0,,1603.0,,316.0,,,
